Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,,,,,
1,……哈啊。,……哈啊。,...Haaah.,……はぁ。,,,,,,,,,,,,
2,竟然真的被扔下来了……那个黑心老板，居然把还在休假的员工强制召回……,竟然真的被扔下來了……那個黑心老板，居然把還在休假的員工強制召回……,I really got thrown down here... That black-hearted boss actually dragged an employee on leave back to work...,マジで突き落とされたなんて……あのブラック社長、休暇中の社員を強制出勤させるとかありえない……,,,,,,,,,,,,
3,然后，作为勇者——啊不对，作为魔女的第一战，对手居然是这种果冻？,然後，作為勇者——啊不對，作為魔女的第一戰，對手居然是這種果凍？,"So, as a hero—ah no, as a witch—my first opponent turns out to be this kind of jelly?",で、勇者としての——じゃなくて、魔女としての初戦の相手がこのゼリー？,,,,,,,,,,,,
4,"欸？阿米莉娅酱，你这可说得太让人伤心了。我明明跟你说了，下面有很多""可爱的""普拉提可以当甜点哦？","欸？阿米莉娅醬，你這可說得太讓人傷心了。我明明跟你說了，下面有很多""可愛的""普拉提可以當甜點哦？","Huh? Amelia-chan, that's so mean. I clearly told you there are lots of “cute” Platy down here to snack on, right?",え？アメリアちゃん、それはちょっと酷いわね。下には「可愛い」プラティがたくさんいて、おやつになるってちゃんと教えたじゃない？,,,,,,,,,,,,
5,"我怎么觉得你说的""可爱""和""甜点""都带着股危险的味道啊。","我怎么覺得你說的""可愛""和""甜點""都帶著股危險的味道啊。",I don't know... Something about your “cute” and “snack” feels really dangerous.,あんたの言う「可愛い」と「おやつ」って、なんかヤバい匂いしかしないんだけど。,,,,,,,,,,,,
6,看起来很有弹性的样子。如果不动的话，拿来当枕头应该不错……,看起來很有彈性的樣子。如果不動的話，拿來當枕頭應該不錯……,"It looks pretty bouncy. If it doesn't move, it'd make a nice pillow...",ぷにぷにしてて弾力ありそう。じっとしてくれれば、枕に持って帰ってもよさそうな気が…。,,,,,,,,,,,,
7,"呵呵，你倒是有心情开玩笑。不过，作为""甜点""它可不会老实待着哦？","呵呵，你倒是有心情開玩笑。不過，作為""甜點""它可不會老實待著哦？","Hehe, you've got time for jokes, huh? But don't expect it to stay still as a “snack.”",ふふっ、冗談を言う余裕はあるみたいね。でも、その「おやつ」ちゃんは大人しく待っててはくれないわよ？,,,,,,,,,,,,
8,呜哇，杀气！？对着我这种柔弱的美少女？真是的……,嗚哇，殺氣！？對著我這種柔弱的美少女？真是的……,"Whoa, bloodlust!? Against a fragile beauty like me? Geez...",うわっ、殺気！？私みたいな可憐な美少女に向けて？もう……,,,,,,,,,,,,
9,阿米莉娅夸张地捂住了胸口，但却露出一副看尸体的眼神。,阿米莉娅夸張地捂住了胸口，但卻露出一副看尸體的眼神。,Amelia dramatically clutched her chest—but her eyes had a dead-fish stare.,アメリアは大げさに胸を押さえたが、その目は死体を見るような冷ややかなものだった。,,,,,,,,,,,,
10,"别装了，阿米莉娅酱。与其在这里捂着胸口扮演弱女子，不如赶紧动起来！你现在能用的""魔能""可不多，身体里沉睡的魔力回路，现在只有那么一点点。","別裝了，阿米莉娅醬。與其在這里捂著胸口扮演弱女子，不如趕緊動起來！你現在能用的""魔能""可不多，身體里沉睡的魔力回路，現在只有那么一點點。","Stop pretending, Amelia-chan. Instead of playing the weak girl clutching your chest, get moving! The Mana you can use right now is almost nothing. The mana circuits sleeping inside your body are only barely trickling.",お芝居は結構よ、アメリアちゃん。ここで胸を押さえてか弱い乙女を演じる暇があるなら、さっさと動きなさい！今使える「マナ」はほんの少し、体内に眠る魔力回路も今はたったそれだけなんだから。,,,,,,,,,,,,
11,嘁，黑心上司还会关心员工体力了？,嘁，黑心上司還會關心員工體力了？,"Tch, since when does a black-hearted boss care about their employee's stamina?",ちっ、ブラック上司が社員の体力なんて気にするわけ？,,,,,,,,,,,,
12,还要回忆一下战斗的细节吗……？,還要回憶一下戰鬥的細節嗎……？,Want to recall the fight in detail...?,戦闘のやり方、もう一度思い出してみる……？,是,是,Yes,はい,否,否,No,いいえ,,,,
13,身体里沉睡的魔力回路，也就是所谓的魔能，只有那么一点点。虽然很想来个华丽的禁咒把这一带都炸平，但以现在的体力，顶多只能挥两下拳头呢。,身體里沉睡的魔力回路，也就是所謂的魔能，只有那么一點點。雖然很想來個華麗的禁咒把這一帶都炸平，但以現在的體力，頂多只能揮兩下拳頭呢。,"The Magic circuits sleeping in your body—your Mana—are barely a trickle. You'd love to blow this whole place away with a flashy forbidden spell, but with your current stamina, you can at most throw two punches.",体内に眠る魔力回路、つまりマナはほんの少ししかない。ド派手な禁呪でこの一帯を吹き飛ばしたいところだけど、今の体力じゃせいぜい拳を2回振り回すのが限界ね。,,,,,,,,,,,,
14,可恶，别小瞧了加班的怨念啊！！,可惡，別小瞧了加班的怨念啊！！,"Damn it, don't underestimate the grudge of overtime!!",くそっ、残業の怨念を舐めないでよね！！,,,,,,,,,,,,
