Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tag1,Tag1_zh-Hant,Tag1_en,Tag1_ja,Tag2,Tag2_zh-Hant,Tag2_en,Tag2_ja,Tag3,Tag3_zh-Hant,Tag3_en,Tag3_ja,Tag4,Tag4_zh-Hant,Tag4_en,Tag4_ja
Id（唯一标识）,备注,名字,名字,Name,名前,描述,描述,Description,説明,显示的tag,顯示的tag,Displayed Tag,显示的tag,,,,,,,,,,,,
2,,破损表盘,破損錶盤,Broken Dial,壊れた文字盤,解锁遗物：破损表盘,解鎖遺物：破損錶盤,Unlock Relic: Broken Dial,遺物「壊れた文字盤」を解放,"<main>破损表盘</main>
<des>出牌时获得1点魔能</des>","<main>破損錶盤</main>
<des>出牌時獲得1點魔能</des>",<main>Broken Dial</main>\n<des>Gain 1 mana when playing cards</des>,"<main>壊れた文字盤</main>
<des>カードを使用する時、パワーを1獲得</des>",,,,,,,,,,,,
3,,强健体魄,強健體魄,Robust Physique,強健な肉体,最大生命值+5,最大生命值+5,Max Health +5,初期最大HP+5,,,,,,,,,,,,,,,,
4,,谈判技巧,談判技巧,Negotiation Skills,交渉術,商店每次刷新费用-5,商店每次刷新費用-5,Shop refresh cost -5,ショップのリフレッシュ費用-5,,,,,,,,,,,,,,,,
5,,冒险津贴,冒險津貼,Adventure Allowance,冒険手当,初始金币+10,初始金幣+10,Starting gold +10,初期ゴールド+10,,,,,,,,,,,,,,,,
6,,魔力涌动,魔力涌動,Surging Magic,魔力増幅,初始魔力+1,初始魔力+1,Starting Magic +1,初期魔力+1,,,,,,,,,,,,,,,,
7,,精神稳固,精神穩固,Mental Fortitude,精神安定,初始精神+1,初始精神+1,Starting Spirit +1,初期精神+1,,,,,,,,,,,,,,,,
8,,幸运增幅,幸運增幅,Lucky Enhancement,幸運増幅,初始幸运+1,初始幸運+1,Starting Luck +1,初期幸運+1,,,,,,,,,,,,,,,,
9,,感知强化,感知強化,Perception Enhancement,感知強化,初始感知+1,初始感知+1,Starting Perception +1,初期感知+1,,,,,,,,,,,,,,,,
10,,重生保险,重生保險,Rebirth Insurance,再生の保険,非最终领主战斗死亡时，脱离战斗。每次冒险只能触发一次。,非最終領主戰鬥死亡時，脫離戰鬥。每次冒險只能觸發一次。,"Once per adventure only, escape (exit combat) when dying in non-final boss battles.",冒険ごとに1回のみ、最終ボス以外の戦闘で死亡時に離脱する,,,,,,,,,,,,,,,,
16,,传奇之路,傳奇之路,The Road of Legends,伝説の道,在难度选择中，获取更多挑战选项,在難度選擇中，獲取更多挑戰選項,"In Difficulty Selection, get more challenge options",難易度選択で、より多くのチャレンジオプションを入手,,,,,,,,,,,,,,,,
17,,支配魔女,支配魔女,Witch of Domination,支配の魔女,解锁支配魔女 阿黛拉,解鎖支配魔女 阿黛拉,Unlock Witch of Domination Adele,支配の魔女 アデルを解放する。,,,,,,,,,,,,,,,,
18,,猎杀魔女,獵殺魔女,Hunting Witch,狩猟の魔女,解锁猎杀魔女 卡洛琳,解鎖獵殺魔女 卡洛琳,Unlock Hunting Witch Caroline,狩猟の魔女 キャロラインを解放する。,,,,,,,,,,,,,,,,
19,,混沌魔女,混沌魔女,Chaos Witch,カオスの魔女,解锁混沌魔女 厄米娅,解鎖混沌魔女 厄米婭,Unlock Chaos Witch Ermia,カオスの魔女 アーミヤを解放する。,,,,,,,,,,,,,,,,
20,,见习天使,見習天使,Apprentice Angel,見習い天使,解锁见习天使 可可,解鎖見習天使 可可,Unlock Apprentice Angel Coco,見習い天使 ココを解放する。,,,,,,,,,,,,,,,,
21,,拟态魔女,擬態魔女,Mimic Witch,擬態の魔女,解锁拟态魔女  薇薇安,解鎖擬態魔女  薇薇安,Unlock Mimic Witch Vivian,擬態の魔女 ヴィヴィアンを解放する。,,,,,,,,,,,,,,,,
