Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,可可~,可可～,Coco~,ココ～,,,,,,,,
2,阿米莉娅姐姐？,阿米莉婭姐姐？,Amelia?,アメリアお姉ちゃん？,,,,,,,,
3,我问你个问题，你不要告诉那个年上白毛哦。,我問你個問題，你不要告訴那個年上白毛哦。,I want to ask you something. Do not tell that older white-haired one.,ちょっと聞きたいことがあるんだけど、あの年上白髪には言わないでね。,,,,,,,,
4,是在说主天使大人……？,是在說主天使大人……？,Do you mean the Archangel...?,主天使様のこと……？,,,,,,,,
5,（点头）,（點頭）,(Nod),（うなずく）,,,,,,,,
6,嗯……可可会为阿米莉娅姐姐保守秘密的,嗯……可可會為阿米莉婭姐姐保守秘密的。,"Mm... Coco will keep your secret, Amelia.",うん……ココはアメリアお姉ちゃんの秘密を守るよ。,,,,,,,,
7,你，还有你们天使怎么看待克莉斯娜？,你，還有你們天使怎麼看待克莉斯娜？,"How do you, and the other angels, see Krisna?",あなたや天使たちは、クリスナのことをどう見ているの？,,,,,,,,
8,主天使大人……嗯……还在天界的时候，大家认为主天使大人是很有智慧，很有威严的人，对于可可来说，就像妈妈一样……？,主天使大人……嗯……還在天界的時候，大家認為主天使大人是很有智慧、很有威嚴的人，對可可來說，就像媽媽一樣……？,"The Archangel... Hmm... Back in Heaven, everyone thought she was very wise and dignified. To Coco, she was almost like a mother...?",主天使様……うーん……天界にいた頃、みんな主天使様はとても知恵があって威厳のある方だと思っていました。ココにとっては、お母さんみたいな……？,,,,,,,,
9,？？？！！？,？？？！！？,???!!?,？？？！！？,,,,,,,,
10,（震惊）,（震驚）,(Shocked),（衝撃）,,,,,,,,
11,？,？,?,？,,,,,,,,
12,可可你确定跟我说的是一个人吗……？,可可你確定跟我說的是同一個人嗎……？,"Coco, are you sure we are talking about the same person...?",ココ、本当に私と同じ人の話をしてる……？,,,,,,,,
13,啊哈哈……阿米莉娅姐姐对主天使大人有不同的看法……？,啊哈哈……阿米莉婭姐姐對主天使大人有不同的看法……？,"Ahaha... Do you have a different impression of the Archangel, Amelia...?",あはは……アメリアお姉ちゃんは主天使様に別の印象を持っているの……？,,,,,,,,
14,（思考）,（思考）,(Thinking),（考える）,,,,,,,,
15,如果用动物打比方的话，我觉得她大概跟柴犬差不多,如果用動物打比方的話，我覺得她大概跟柴犬差不多。,"If I had to compare her to an animal, I would say she is about like a Shiba Inu.",動物に例えるなら、たぶん柴犬みたいな感じかな。,,,,,,,,
16,柴、柴犬？！,柴、柴犬？！,A Sh-Shiba Inu?!,し、柴犬？！,,,,,,,,
17,（点头）,（點頭）,(Nod),（うなずく）,,,,,,,,
18,OxO,OxO,OxO,OxO,,,,,,,,
19,（原来……主天使大人还有这样的一面吗？）,（原來……主天使大人還有這樣的一面嗎？）,(So... the Archangel has that side to her too?),（そうなんだ……主天使様にはそんな一面もあるんだ？）,,,,,,,,
