Id,Note,Name,Description,Name_zh-Hant,Name_en,Name_ja,Description_zh-Hant,Description_en,Description_ja
（id）唯一标识,备注,名称,描述,名稱,Name,名前,名称,描述,説明
1,,熔岩之心,巨人族再次融入了大地,熔巖之心,Heart of Lava,巨人族再次融入了大地,巨人族再次融入了大地,The giants returned once more to the earth.,巨人族は再び大地へと溶け込んだ。
2,,星轨沙漏,观测者窥见了时间裂缝中的倒影,星軌沙漏,Star Hourglass,觀測者窺見了時間裂縫中的倒影,觀測者窺見了時間裂縫中的倒影,The observer glimpsed a reflection within a rift in time.,観測者は時間の裂け目に映る影を垣間見た。
3,,虚妄之瞳,看穿谎言者终将被真相灼伤,虛妄之瞳,Eye of Falsehood,看穿謊言者終將被真相灼傷,看穿謊言者終將被真相灼傷,Those who see through lies will one day be scorched by truth.,嘘を見抜く者はいずれ真実に焼かれる。
4,,永霜王冠,寒冰女王的叹息冻结了背叛者的血脉,永霜王冠,Everfrost Crown,寒冰女王的嘆息凍結了背叛者的血脈,寒冰女王的嘆息凍結了背叛者的血脈,The Ice Queen's sigh froze the bloodline of a traitor.,氷の女王のため息が裏切り者の血脈を凍らせた。
5,,缚誓锁链,古老契约反噬了违背承诺的君王,縛誓鎖鏈,Oathbound Chains,古老契約反噬了違背承諾的君王,古老契約反噬了違背承諾的君王,An ancient pact turned back upon the king who broke his promise.,古き契約が約束を違えた王に牙をむいた。
6,,辉月棱镜,圣堂骑士用其折射神谕的残光,輝月棱鏡,Moonlight Prism,聖堂騎士用其折射神諭的殘光,聖堂騎士用其折射神諭的殘光,A temple knight used it to refract the afterglow of an oracle.,聖堂騎士はそれで神託の残光を屈折させた。
7,,熵核,地脉暴动的能量在晶体中嘶吼,熵核,Entropy Core,地脈暴動的能量在晶體中嘶吼,地脈暴動的能量在晶體中嘶吼,The energy of a leyline upheaval roars within the crystal.,地脈暴走のエネルギーが結晶の中で唸っている。
8,,命运纺锤,纺织女神剪断了凡人的生命线,命運紡錘,Fate Spindle,紡織女神剪斷了凡人的生命線,紡織女神剪斷了凡人的生命線,The weaving goddess severed a mortal's lifeline.,織物の女神は凡人の命の糸を断ち切った。
9,,影渊琥珀,吞噬光明的深渊凝结成实体,影淵琥珀,Abyssal Amber,吞噬光明的深淵凝結成實體,吞噬光明的深淵凝結成實體,An abyss that devours light condensed into solid form.,光を呑む深淵が実体として凝り固まった。
10,,龙语石碑,龙族将湮灭的文明刻入龙骨,龍語石碑,Draconic Stele,龍族將湮滅的文明刻入龍骨,龍族將湮滅的文明刻入龍骨,The dragons carved a dying civilization into dragonbone.,竜族は滅びゆく文明を竜骨へ刻み込んだ。
11,,圣骸布,殉道者的血在布帛上燃烧千年,聖骸布,Sacred Shroud,殉道者的血在布帛上燃燒千年,殉道者的血在布帛上燃燒千年,A martyr's blood has burned upon the cloth for a thousand years.,殉教者の血が布地の上で千年燃え続けている。
12,,混沌枝芽,世界树根系蔓延向无序的深渊,混沌枝芽,Chaos Sprout,世界樹根系蔓延向無序的深淵,世界樹根系蔓延向無序的深淵,The World Tree's roots spread toward the abyss of disorder.,世界樹の根は無秩序の深淵へと伸び広がる。
13,,时之鳞,银龙鳞片记录了时间河流的涨落,時之鱗,Scale of Time,銀龍鱗片記錄了時間河流的漲落,銀龍鱗片記錄了時間河流的漲落,A silver dragon scale records the rise and fall of the river of time.,銀竜の鱗は時の流れの満ち引きを記録している。
14,,心象罗盘,指向持有者最恐惧的回忆深处,心象羅盤,Psychic Compass,指向持有者最恐懼的回憶深處,指向持有者最恐懼的回憶深處,Points toward the depths of the bearer's most feared memory.,持ち主が最も恐れる記憶の奥底を指し示す。
15,,冥河船票,摆渡人只接受灵魂作为船资,冥河船票,Styx Ticket,擺渡人只接受靈魂作為船資,擺渡人只接受靈魂作為船資,The ferryman accepts only souls as passage fare.,渡し守は船賃として魂だけを受け取る。
16,,天穹齿轮,机械之神遗落的精密神性,天穹齒輪,Celestial Gear,機械之神遺落的精密神性,機械之神遺落的精密神性,A precise divinity lost by the god of machines.,機械の神が落とした精密な神性。
17,,蚀日黑钻,日蚀时陨落的星辰核心,蝕日黑鉆,Eclipse Diamond,日蝕時隕落的星辰核心,日蝕時隕落的星辰核心,The core of a fallen star from the moment of eclipse.,日蝕の時に墜ちた星辰の核。
18,,歌者之血,人鱼族用歌声封印了海啸,歌者之血,Singer’s Blood,人魚族用歌聲封印了海嘯,人魚族用歌聲封印了海嘯,The merfolk sealed away a tsunami with song.,人魚族は歌声で津波を封じた。
19,,荒原号角,吹响时唤醒地壳下的泰坦,荒原號角,Wasteland Horn,吹響時喚醒地殼下的泰坦,吹響時喚醒地殼下的泰坦,"When blown, it awakens the titan beneath the crust.",吹き鳴らすと地殻の下のタイタンを目覚めさせる。
20,,真理砝码,天平两端称量谎言与疯狂,真理砝碼,Truth Weight,天平兩端稱量謊言與瘋狂,天平兩端稱量謊言與瘋狂,Weighs lies and madness on opposite sides of the scale.,天秤の両端で嘘と狂気を量る。
21,,绯红契约,血族公爵签署的致命盟约,緋紅契約,Crimson Pact,血族公爵簽署的致命盟約,血族公爵簽署的致命盟約,A deadly covenant signed by a bloodline duke.,血族の公爵が署名した致命的な盟約。
22,,空想透镜,将梦境折射为可触摸的实体,空想透鏡,Reverie Lens,將夢境折射為可觸摸的實體,將夢境折射為可觸摸的實體,Refracts dreams into tangible form.,夢を手で触れられる実体へと屈折させる。
23,,寂灭尘埃,诸神黄昏战役的灰烬仍有余温,寂滅塵埃,Annihil. Dust,諸神黃昏戰役的灰燼仍有餘溫,諸神黃昏戰役的灰燼仍有餘溫,The ashes of Ragnarok still retain a trace of warmth.,ラグナロクの戦役の灰にはまだ余温が残っている。
24,,潮汐圣杯,盛满月海潮汐的液态月光,潮汐聖杯,Tidal Chalice,盛滿月海潮汐的液態月光,盛滿月海潮汐的液態月光,Liquid moonlight filled with the tides of the lunar sea.,月の海の潮汐を満たした液状の月光。
25,,荆棘王玺,初代精灵王冠上的诅咒冠冕,荊棘王璽,Thorn Royal Seal,初代精靈王冠上的詛咒冠冕,初代精靈王冠上的詛咒冠冕,The cursed coronet on the first elven king's crown.,初代精霊王の冠に宿る呪いの冠冕。
26,,悖论魔方,六个面同时存在又相互否定,悖論魔方,Paradox Cube,六個面同時存在又相互否定,六個面同時存在又相互否定,Six faces exist at once while denying one another.,六つの面が同時に存在し、互いを否定している。
*27,,万物之基-灾,灾之起源,萬物之基-災,Allbase: Ruin,災之起源,災之起源,The origin of calamity.,災いの起源。
*28,,万物之基-矩,矩之起源,萬物之基-矩,Allbase: Order,矩之起源,矩之起源,The origin of order.,矩の起源。
*29,,万物之基-宙,宙之起源,萬物之基-宙,Allbase: Chronos,宙之起源,宙之起源,The origin of chronos.,宙の起源。
*30,,万物之基-灵,灵之起源,萬物之基-靈,Allbase: Numen,靈之起源,靈之起源,The origin of numen.,霊の起源。
