Id,Note,Name,Name_en,Name_zh-Hant,Name_ja,Description,Description_en,Description_zh-Hant,Description_ja
唯一的标识（不能重复）,备注,名称,Name,名稱,名称,描述,Description,描述,説明
Law:Judgment,,认知遮蔽,Cognitive Veil,認知遮蔽,認知遮蔽,魔女每抽3张牌，便随机将其手牌中的1张牌翻面。,"Every 3 cards the Witch draws, flip 1 random card in her hand.",魔女每抽3張牌，便隨機將其手牌中的1張牌翻面。,魔女がカードを3枚引くたび、手札のカード1枚がランダムで裏返る。
Law:Death,,律令:自毁,Self-Destruct,律令:自毀,律令：自壊,若第8回合结束时，永夜化身仍在场上，则对魔女造成2次其最大生命值100%的真实伤害。,"If the Avatar of Eternal Night is still on the field at the end of turn 8, deal True Damage to the Witch 2 times, each equal to 100% of her Max Health.",若第8回合結束時，永夜化身仍在場上，則對魔女造成2次其最大生命值100%的真實傷害。,第8ターン終了時に永夜の化身が場に残っている場合、魔女に最大HP100%分の真実ダメージを2回与える。
Law:Supreme,,液态身躯,Liquid Body,液態身軀,液状の身体,每3回合结束时，清除自身所有负面状态。,"At the end of every 3 turns, remove all negative statuses from self.",每3回合結束時，清除自身所有負面狀態。,3ターンごとに、自身のすべてのデバフを解除する。
Transcendent,,庞然巨兽,Saint Form,聖者形態,聖者の形態,获得4点固定免伤、30%百分比免伤、30%伤害加成，且所有行动对魔女额外造成4点真实伤害。,"Gain 4 Flat Damage Reduction, 30% Percentage Damage Reduction, and 30% Damage Bonus. All actions deal an additional 4 True Damage to the Witch.",獲得4點固定免傷、30%百分比免傷、30%傷害加成，且所有行動對魔女額外造成4點真實傷害。,固定ダメージ軽減4、ダメージ軽減30%、ダメージ増加30%を得る。すべての行動は魔女に追加で4の真実ダメージを与える。
ImmortalGodhead,,固化灵魂,Solidified Soul,固化靈魂,固化した魂,永夜化身初始拥有三层固化灵魂。固化灵魂层数大于1时，死亡时会立即满血复活并失去一层固化灵魂，且本回合不再受伤。,"The Avatar of Eternal Night starts with 3 stacks of Solidified Soul. When Solidified Soul is greater than 1, it immediately revives at full Health on death, loses 1 stack of Solidified Soul, and no longer takes damage this turn.",永夜化身初始擁有3層固化靈魂。固化靈魂層數大於1時，死亡時會立即滿血復活並失去1層固化靈魂，且本回合不再受傷。,永夜の化身は初期状態で固化した魂を3スタック持つ。固化した魂が1を超えている時、死亡すると即座にHP満タンで復活し、固化した魂を1スタック失い、このターン中はそれ以上ダメージを受けない。
expiation,,惊喜！,Surprise Box,驚喜禮物盒,サプライズギフトボックス,若在4回合内死亡，则对敌方造成15点真实伤害；否则，在4回合后自然死亡，并为敌方恢复15点生命值。,"If it dies within 4 turns, deal 15 True Damage to the enemy; otherwise, die naturally after 4 turns and restore 15 Health to the enemy.",若在4回合內死亡，則對敵方造成15點真實傷害；否則，在4回合後自然死亡，並為敵方恢復15點生命值。,4ターン以内に死亡した場合、敵に15の真実ダメージを与える。そうでなければ4ターン後に自然死亡し、敵のHPを15回復する。
ThievesKing,,盗贼,Mole,鼴鼠,モグラ,每次行动时，从魔女处偷取一定量({0})金币。在一定({1})回合开始时逃跑。若自身被击败，则返还此部分金币，魔女额外获得100金币。,"Each action steals ({0}) Gold from the Witch. Escapes at the start of turn ({1}). If defeated, return that stolen Gold, and the Witch gains an extra 100 Gold.",每次行動時，從魔女處偷取一定量({0})金幣。在一定({1})回合開始時逃跑。若自身被擊敗，魔女額外獲得100金幣。,行動するたび魔女から({0})ゴールド盗む。({1})ターン目開始時に逃走する。倒された場合、魔女は追加で100ゴールド獲得する。
UnparalleledPower,,戴冠者,The Crowned,戴冠者,戴冠者,回合结束时，生命值减少25%，攻击力翻倍。最多执行2次。,"At the end of the turn, lose 25% Health and double Attack. Triggers up to 2 times.",回合結束時，生命值減少25%，攻擊力翻倍。最多執行2次。,ターン終了時、HPが25%減少し攻撃力が2倍になる。最大2回まで。
believer,,梅花,Page of Clubs,梅花侍從,梅花の従者,生命值首次低于50%时，将其完全恢复，并提升30%的攻击力与防御力。,"The first time Health drops below 50%, fully restore it and increase Attack and Defense by 30%.",生命值首次低於50%時，將其完全恢復，並提升30%的攻擊力與防禦力。,HPが初めて50%未満になると全回復し、攻撃力と防御力が30%上昇する。
BackToBasics,,返本归源,Back to Basics,返本歸源,原点回帰,奇数回合开始时，随机移除自身1个负面状态；偶数回合开始时，随机移除魔女1个正面状态。,"On odd turns, remove 1 random negative status from self; on even turns, remove 1 random positive status from the Witch.",奇數回合開始時，隨機移除自身1個負面狀態；偶數回合開始時，隨機移除魔女1個正面狀態。,奇数ターン開始時、自身のデバフをランダムで1つ解除する。偶数ターン開始時、魔女のバフをランダムで1つ解除する。
hunting,,方片,Diamond Dancer,方片舞者,ダイヤの踊り子,若魔女回合结束时手牌数量为偶数，则对魔女造成等同于自身攻击力的伤害。若为奇数，自身进行一次防御,"If the Witch ends her turn with an even number of cards in hand, deal damage equal to own Attack to the Witch. If odd, perform a Defense.",若魔女回合結束時手牌數量為偶數，則對魔女造成等同於自身攻擊力的傷害。若為奇數，自身進行一次防禦。,魔女のターン終了時の手札枚数が偶数なら、自身の攻撃力分のダメージを与える。奇数なら防御する。
AllogeneicConcentric,,影魔身躯,Symbiotic Unity,異心同體,異心同体,为所有友方单位添加标记。当一个友方单位死亡时，自身最大生命值提升50%，生命值恢复至全满，且攻击力与防御力提升50%。,"Mark all allies. When an ally dies, increase own Max Health by 50%, fully restore Health, and increase Attack and Defense by 50%.",為所有友方單位添加標記。當一個友方單位死亡時，自身最大生命值提升50%，生命值恢復至全滿，且攻擊力與防禦力提升50%。,すべての味方にマークを付与する。味方が1体死亡すると、最大HP+50%、HP全回復、攻撃力と防御力+50%。
TrialsOfWisdom,,魅魔之主,Succubus Lord,智慧試煉,知恵の試練,每次造成伤害，临时降低对方随机本源属性一点。每次受到伤害，同个来源的伤害减少5%，行动时重置。,"Each time damage is dealt, temporarily reduce a random Source stat of the target by 1. Each time damage is taken, reduce damage from the same source by 5%, resetting on action.",每次造成傷害，臨時降低對方隨機本源屬性一點。每次受到傷害，同個來源的傷害減少5%，行動時重置。,ダメージを与えるたび、相手のランダムな本源属性を1低下させる。ダメージを受けるたび同一ソースからのダメージが5%減少し、行動時にリセット。
meow,,匣上黑猫,Box Black Cat,黑貓,黒猫,战斗开始时。给与魔女重生70。复活后，此祝福失效。,"At combat start, give the Witch 70 stacks of {buff_rebirth}. After reviving, this Blessing becomes inactive.",戰鬥開始時，給予魔女70層{buff_rebirth}。復活後，此祝福失效。,戦闘開始時、魔女に{buff_rebirth}を70スタック付与する。復活後、この祝福は無効になる。
ManInTheMirror,,镜中人,Mirror Man,鏡中人,鏡中の人,若魔女在其回合中打出攻击牌，则自身在回合开始时会额外攻击一次；若魔女打出技能牌，则自身在回合开始时会额外防御一次。,"If the Witch played an Attack card during her turn, perform an extra attack at the start of your turn; if she played a Skill card, perform an extra defense.",若魔女在其回合中打出攻擊牌，則自身在回合開始時會額外攻擊一次；若魔女打出技能牌，則自身在回合開始時會額外防禦一次。,魔女が前ターンに攻撃カードを使った場合、ターン開始時に追加攻撃する。スキルなら追加防御する。
Phoenix,,浴火,Phoenix,熔火聖械,溶融聖械,奇数回合开始时，免疫灼烧伤害并移除坚毅，偶数回合开始时，获得8层坚毅。,"At the start of odd turns, become immune to {buff_burn} damage and remove {buff_impregnable}. At the start of even turns, gain 8 stacks of {buff_impregnable}.",奇數回合開始時，免疫{buff_burn}傷害並移除{buff_impregnable}，偶數回合開始時，獲得8層{buff_impregnable}。,奇数ターン開始時、{buff_burn}ダメージを無効化し{buff_impregnable}を解除する。偶数ターン開始時、{buff_impregnable}を8スタック得る。
Snitch,,自动人偶,Automaton Puppet,自動機關人偶,自動人形,魔女打出技能牌时，进行一次检定：若检定值小于60，【自动机关人偶】立即触发一次“意图1”；否则，自身受到当前生命值10%的伤害。,"When the Witch plays a Skill card, perform a check: if the result is less than 60, [Automaton Puppet] immediately triggers ""Intent 1""; otherwise, it takes damage equal to 10% of its current Health.",魔女打出技能牌時，進行一次檢定：若檢定值大於60，【自動機關人偶】立即觸發一次「意圖1」；否則，自身受到當前生命值10%的傷害。,魔女がスキルカードを使うと判定を行う。60より大きければ【自動機関人形】が「意図1」を即時発動する。失敗すると現在HPの10%ダメージ。
Priest,,K,K,K,K,魔女行动时，若其手牌中有2张或更多诅咒牌，【K】会对魔女攻击一次。自身每受到4次伤害，便将1张【虚无】洗入魔女的牌堆（最多6张）。,"When the Witch acts, if she has 2 or more Curse cards in hand, [K] attacks the Witch once. Every 4 times this unit takes damage, shuffle 1 [Void] into the Witch's deck (up to 6).",魔女行動時，若其手牌中有2張或更多詛咒牌，【K】會對魔女攻擊一次。自身每受到4次傷害，便將1張【虛無】洗入魔女的牌堆（最多6張）。,魔女が行動する時、手札に呪いカードが2枚以上あれば【K】が魔女を1回攻撃する。自身が4回ダメージを受けるたび、【虚無】を魔女のデッキに1枚加える（最大6枚）。
Twins,,不可饶恕!,Unforgivable!,孿生,双生児,当一个友方单位死亡时，恢复50%生命值，获得2层【坚毅】、30层【超凡】和3层【荆棘】。此效果每场战斗最多触发一次。,"When an ally dies, restore 50% Health and gain 2 stacks of [{buff_impregnable}], 30 stacks of [{buff_extraordinary}], and 3 stacks of [{buff_thorns}]. Triggers once per battle.",當一個友方單位死亡時，恢復50%生命值，獲得2層{buff_impregnable}、30層{buff_extraordinary}和3層{buff_thorns}。此效果每場戰鬥最多觸發一次。,味方が1体死亡すると、HPを50%回復し、{buff_impregnable}2、{buff_extraordinary}30、{buff_thorns}3を得る。戦闘中1回まで。
Musician,,祭祀者,Calamity Priest,災厄祭司,災厄の司祭,魔女每累计打出5张牌，便弃掉所有手牌并抽取等量的牌。当魔女累计打出15张牌时，自身获得【混乱】。,"Every 5 cards the Witch plays, discard all her hand and draw the same number of cards. When the Witch plays a total of 15 cards, this unit gains [{buff_chaos}].",魔女每累計打出5張牌，便棄掉所有手牌並抽取等量的牌。當魔女累計打出15張牌時，自身獲得{buff_chaos}。,魔女がカードを5枚使うごとに手札をすべて捨て同数引く。15枚使用すると{buff_chaos}を得る。
ThirstForBlood,,黑桃,Spade Knight,黑桃騎士,スペードの騎士,战斗开始时，对自身施加1层【血海】，对魔女施加1层【血河】。,"At battle start, apply 1 stack of [{buff_bloodsea}] to self and 1 stack of [{buff_bloodriver}] to the Witch.",戰鬥開始時，對自身施加1層{buff_bloodsea}，對魔女施加1層{buff_bloodriver}。,戦闘開始時、自身に{buff_bloodsea}1、魔女に{buff_bloodriver}1を付与する。
BlessedByHeaven,,半天使,Half-Angel,天眷者,天眷者,回合开始时，获得层数等同于最大生命值4%的【自愈】。最多7次。,"At turn start, gain stacks of {buff_evergreen} equal to 4% of Max Health. Up to 7 times.",回合開始時，獲得層數等同於最大生命值4%的{buff_evergreen}。最多7次。,ターン開始時、最大HPの4%分の{buff_evergreen}を獲得する。最大7回まで。
FortuneBoy,,金矿,Gold Mine,送財童子,送財童子,受到普通伤害后，使攻击者获得5金币（最多10次）。受到真实伤害或者异常伤害时，恢复5%最大生命值，并使本效果的金币获取次数上限+1。,"After taking normal damage, the attacker gains 5 Gold (up to 10 times). When taking True Damage or ailment damage, restore 5% Max Health and increase this effect's Gold gain limit by 1.",受到普通傷害後，使攻擊者獲得5金幣（最多10次）。受到真實傷害時，恢復5%最大生命值，並使本效果的金幣獲取次數上限+1。,通常のダメージを受けた後、攻撃者は5ゴールドを得る（最大10回）。真のダメージを受けたとき、最大体力の5%を回復し、この効果のゴールド取得回数の上限を+1する。
Mimics,,魔能矿,Mana Ore,寶箱怪,活性晶簇,受到普通伤害时，攻击者有50%的几率恢复1点魔能，50%的几率抽取1张牌。,"When taking normal damage, the attacker has a 50% chance to recover 1 Mana and a 50% chance to draw 1 card.",受到普通傷害時，攻擊者有50%的機率恢復1點魔能，50%的機率抽取1張牌。,通常ダメージを受けると、攻撃者は50%で魔能1回復、50%でカード1枚引く。
Restrain,,抑制,Restrain,抑制,抑制,攻击时，使目标的治疗效果降低20%（不可叠加）。,Attacks reduce the target's healing effect by 20% (non-stackable).,攻擊時，使目標的治療效果降低20%（不可疊加）。,攻撃時、対象の回復効果を20%低下させる（重複不可）。
