Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,AttributeText,AttributeText_zh-Hant,AttributeText_en,AttributeText_ja
地图id,备注,名字,名字,Name,名前,描述,描述,Description,説明,,,,
1,建筑,旅行商人,旅行商人,Traveling Merchant,魔法の店,<color=green>安全</color><br>奥尔德林神秘的游商，无论你是想要新的卡牌，契约，还是上古的遗物，这里一应俱全，只要携带了足量的金币，她就能为你提供你需要的一切 (诚招饰演商人一角的专业演员，暂由可可倾情扮演),<color=green>安全</color><br>奧爾德林神秘的游商，無論你是想要新的卡牌，契約，還是上古的遺物，這里一應俱全，只要攜帶了足量的金幣，她就能為你提供你需要的一切 (誠招飾演商人一角的專業演員，暫由可可傾情扮演),"<color=green>Safe</color><br>A mysterious merchant of Aldrin. Whether you need new cards, contracts, or ancient relics, she has everything here. Bring enough gold, and she can provide whatever you require. (Now hiring a professional actor for the merchant role; Coco is filling in with heartfelt enthusiasm for now.)",<color=green>安全</color><br>オルドリンの謎めいた行商人。新しいカード、契約、古代の遺物など、ここには何でも揃っている。十分な金貨を持っていれば、彼女はあなたに必要なものを何でも用意してくれる。（商人役のプロ役者を募集中。現在はココが心を込めて代役中）,并不等价的交换,并不等價的交換,Unequal Exchange,不等価交換
2,普通事件,魔女手记,圖鑒,Witch's Notes,神秘的な出来事,<color=grey>未知</color><br>翻开新的一页，主天使的声音在你的耳畔响起，今天要讲的是故事是……,<color=grey>未知</color><br>翻開新的一頁，主天使的聲音在你的耳畔響起，今天要講的是故事是……,"<color=grey>Unknown</color><br>Turn to a new page, and the Archangel's voice rings beside your ear. Today's story is about...",<color=grey>未知</color><br>新しいページを開くと、主天使の声が耳元に響く。今日語られる物語は……,未知的旅途,未知的旅途,Unknown Journey,未知の旅
3,精英,起源与终结,起源與終結,Origin and End,強欲者の微笑,<color=red>精英</color><br>他的笑容如同金币般闪亮，却带着腐蚀一切的恶意，那双贪婪的眼睛能看穿最坚固的盔甲，将其化为无用的废铁。,<color=red>精英</color><br>他的笑容如同金幣般閃亮，卻帶著腐蝕一切的惡意，那雙貪婪的眼睛能看穿最堅固的盔甲，將其化為無用的廢鐵。,"<color=red>Elite</color><br>His smile gleams like gold coins, yet carries a malice that corrodes everything. Those greedy eyes can see through the toughest armor and turn it into useless scrap.",<color=red>エリート</color><br>彼の笑みは金貨のように輝いているが、すべてを腐食させる悪意を帯びている。その貪欲な瞳はどんな堅牢な鎧も見抜き、役立たずの屑鉄へと変えてしまう。,,,,
4,精英,红心女仆,紅心女仆,Heart Maid,汚泥の花,<color=red>精英</color><br>花色小队的执行担当，女仆遥望舞台上闪耀的身影,<color=red>精英</color><br>花色小隊的執行擔當，女仆遙望舞臺上閃耀的身影,<color=red>Elite</color><br>The executor of the suit squad. The maid gazes at the brilliant figure shining on the stage.,<color=red>エリート</color><br>スート小隊の実行担当。メイドは舞台の上で輝く姿を遠く見つめている。,,,,
5,精英,鼹鼠,鼴鼠,Mole,盗賊王,<color=red>精英</color><br>只要有金币在身上，哪怕是传说中的灭世者的金币也照偷不误！这个就叫职业精神~！,<color=red>精英</color><br>只要有金幣在身上，哪怕是傳說中的滅世者的金幣也照偷不誤！這個就叫職業精神~！,"<color=red>Elite</color><br>If you have gold on you, she will steal it, even if it is the legendary Destroyer's coin! That is what you call professionalism~!",<color=red>エリート</color><br>身に金貨を持っているなら、たとえ伝説の滅世者の金貨だろうと盗む！これぞプロ意識ってやつだよ～！,,,,
6,精英,深渊之触,深淵之觸,Abyssal Touch,詐欺師,"<color=red>精英</color><br>深渊的触须，奥尔德林的主力卫队
她们的可怕之处在于其摧毁灵魂的权能，但这引以为傲的审判者威能却对魔女完全无效
为对付卫队最大的敌人，触须们只能使用最原始的暴力","<color=red>精英</color><br>深淵的觸須，奧爾德林的主力衛隊
她們的可怕之處在于其摧毀靈魂的權能，但這引以為傲的審判者威能卻對魔女完全無效
為對付衛隊最大的敵人，觸須們只能使用最原始的暴力","<color=red>Elite</color><br>Tentacles of the Abyss, Aldrin's main guard force.
Their terror lies in their authority to destroy souls, yet this proud power of judgment is completely ineffective against witches.
To deal with the guards' greatest enemy, the tentacles can only resort to the most primitive violence.","<color=red>エリート</color><br>深淵の触手、オルドリンの主力衛隊。
彼女たちの恐ろしさは魂を破壊する権能にあるが、誇り高き審判者の威能は魔女にはまったく通じない。
衛隊最大の敵に対抗するため、触手たちは最も原始的な暴力に頼るしかない。",,,,
7,普通,腐化蛛人,腐化蛛人,Corrupted Arachnid,絶望者,<color=yellow>普通</color><br>深渊的提线木偶，其原料为跌落深渊的蛛人魔族……,<color=yellow>普通</color><br>深淵的提線木偶，其原料為跌落深淵的蛛人魔族……,"<color=yellow>Common</color><br>An Abyssal marionette, made from a spiderfolk demon who fell into the Abyss...",<color=yellow>ノーマル</color><br>深淵の操り人形。その素材は、深淵へ落ちた蛛人の魔族……,,,,
8,精英,幽怨之心,幽怨之心,Resentful Heart,不気味な森,<color=red>精英</color><br>世界的恶意未能汇聚成暴力和杀戮的欲望，反而内敛成一种怨念,<color=red>精英</color><br>世界的惡意未能匯聚成暴力和殺戮的欲望，反而內斂成一種怨念,"<color=red>Elite</color><br>The world's malice failed to gather into a desire for violence and slaughter; instead, it turned inward and became a lingering resentment.",<color=red>エリート</color><br>世界の悪意は暴力と殺戮の欲望として集まることなく、内側へ沈み込み、一種の怨念となった。,,,,
9,普通,猫猫军团,貓貓軍團,Predator Swamp,不気味な沼,<color=yellow>普通</color><br>打盹，摸鱼，追逐自己的尾巴，这些小猫们看起来毫无威胁，直到你用手摸了它们的耳朵……,<color=yellow>普通</color><br>打盹，摸魚，追逐自己的尾巴，這些小貓們看起來毫無威脅，直到你用手摸了它們的耳朵……,"<color=yellow>Common</color><br>Napping, slacking off, chasing their own tails: these kittens look harmless, until you reach out and touch their ears...",<color=yellow>ノーマル</color><br>昼寝、サボり、自分の尻尾を追いかけること。子猫たちはまったく脅威に見えない。あなたがその耳に手を触れるまでは……,,,,
