Id,Type,是否完成,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,类型,FALSE,备注,名称,名稱,Name,名称,描述,描述,Description,説明
1,消耗技能牌,FALSE,,方形箱子,方形箱子,Square Box,四角い箱,【复还10】获得{0}点护盾，给予1张手牌：保留,【復還10】獲得{0}點護盾，給予1張手牌：保留。,[Return 10] Gain {0} Shield. Give 1 card in your hand Retain.,【復還10】シールドを{0}獲得し、手札1枚に「保留」を与える。
2,消耗技能牌,FALSE,,瓶中手稿,瓶中手稿,Bottled Script,瓶の中の原稿,【复还5】随机生成一张除自己以外的复还牌。,【复还5】随机生成一张除自己以外的复还牌。焚毁。,[{buff_ReturnAgain} 5] Randomly create a {buff_ReturnAgain} card other than this one. Burn.,【復還5】自身以外の復還カードをランダムに1枚生成する。焼却。
3,,FALSE,,金色甲虫,金色甲虫,Golden Scarab,黄金の甲虫,【复还5】抽2张牌，获得复还层数一半的护盾。,【复还5】抽2张牌，获得复还层数一半的护盾。,[{buff_ReturnAgain} 5] Draw 2 cards. Gain Shield equal to half your {buff_ReturnAgain} stacks.,【復還5】カードを2枚引く。復還スタックの半分に等しいシールドを獲得する。
4,,FALSE,,秃鹫之眼,秃鹫之眼,Vulture's Eye,禿鷲の眼,【复还10】造成{0}点伤害。若因打出以外的方式进入弃牌堆，给予随机敌方目标流血5。,【復還10】造成{0}點傷害。若因打出以外的方式進入棄牌堆，給予隨機敵方目標5層流血。,"[Return 10] Deal {0} damage. If this enters the discard pile by a method other than being played, apply 5 Bleeding to a random enemy target.",【復還10】{0}ダメージを与える。使用以外の方法で捨て札に入った場合、ランダムな敵1体に出血を5スタック付与する。
5,,FALSE,,椭圆肖像,椭圆肖像,Oval Portrait,楕円の肖像,【复还5】弃一张牌。本回合不再获取复还，下回合获取复还效果翻倍。,【复还5】弃一张牌。本回合不再获取复还，下回合获取复还效果翻倍。,[{buff_ReturnAgain} 5] Discard 1 card. Gain no more {buff_ReturnAgain} this turn; {buff_ReturnAgain} gained next turn is doubled.,【復還5】カードを1枚棄てる。このターン、これ以上復還を獲得しない。次のターンに獲得する復還は2倍になる。
6,,FALSE,,双重自我,双重自我,Double Self,二重の自我,弃一张牌。降低20层复还。复还大于50，额外降低10层复还。,弃一张牌。降低20层复还。复还大于50，额外降低10层复还。,"Discard 1 card. Reduce {buff_ReturnAgain} by 20. If {buff_ReturnAgain} is greater than 50, reduce {buff_ReturnAgain} by an additional 10.",カードを1枚棄てる。復還を20減らす。復還が50を超えている場合、さらに10減らす。
7,,FALSE,,人群之中,人群之中,Among the Crowd,群衆の中で,【复还10】制造一张手牌的复制。,【复还10】制造一张手牌的复制。,[{buff_ReturnAgain} 10] Create a copy of a card in hand.,【復還10】手札のカード1枚のコピーを作る。
8,,FALSE,,问答乌鸦,问答乌鸦,Q&A Raven,問答の鴉,【复还10】选择2张手牌，其费用在本回合-3。,【复还10】选择2张手牌，其费用在本回合-3。焚毁。,[{buff_ReturnAgain} 10] Choose 2 cards in hand. Their costs are -3 this turn. Burn.,【復還10】手札を2枚選ぶ。それらのコストはこのターン-3。焼却。
9,,FALSE,,持刀猩猩,持刀猩猩,Knife Ape,刃を持つ猿,"【复还15】造成复还层数/4点伤害，当前为{0},将从左到右第一张不带有复还词条的卡牌变为【持刀猩猩】",【復還15】造成復還層數/4點傷害，當前為{0}，將從左到右第一張不帶有復還詞條的卡牌變為【持刀猩猩】。,"[Return 15] Deal damage equal to Return stacks / 4, currently {0}. Transform the first card from left to right without Return into Knife-Wielding Ape.",【復還15】復還スタック数/4のダメージを与える。現在は{0}。左から右へ見て最初の復還キーワードを持たないカードを【刃を持つ猿】に変える。
10,,FALSE,,墙中黑猫,墙中黑猫,Wallbound Cat,壁の中の黒猫,【复还10】获得{0}点护盾。每有1张卡牌被翻面，获得强韧1，护盾{1}。,【復還10】獲得{0}點護盾。每有1張卡牌被翻面，獲得1層強韌與{1}點護盾。,"[Return 10] Gain {0} Shield. For each card flipped, gain 1 Resilient and {1} Shield.",【復還10】シールドを{0}獲得する。カードが1枚裏返るたび、強靭を1スタック、シールドを{1}獲得する。
11,,FALSE,,叹息之桥,叹息之桥,Bridge of Sighs,ため息の橋,流失10%最大生命值，降低10层复还。,流失10%最大生命值，降低10层复还。,Lose 10% Max Health. Reduce {buff_ReturnAgain} by 10.,最大HPの10%を失う。復還を10減らす。
12,,FALSE,,红死面具,红死面具,Red Death Mask,赤死の仮面,【复还10】触发目标的流血，灼烧效果。每有2张卡牌被翻面，额外触发一次。,【复还10】触发目标的流血，灼烧效果。每有2张卡牌被翻面，额外触发一次。焚毁。,"[{buff_ReturnAgain} 10] Trigger the target's {buff_bleeding} and {buff_burn} effects. For every 2 flipped cards, trigger them one additional time. Burn.",【復還10】対象の出血と燃焼効果を発動する。裏返ったカード2枚ごとに追加で1回発動する。焼却。
*13,,FALSE,,府邸坍圮,府邸坍圮,Mansion Collapse,館の崩壊,【复还5】自身流失当前生命值的30%，对敌方全体造成{0}点伤害。,【復還5】自身流失當前生命值的30%，對敵方全體造成{0}點傷害。,[Return 5] Lose 30% of current Health. Deal {0} damage to all enemies.,【復還5】現在HPの30%を失い、敵全体に{0}ダメージを与える。
14,,FALSE,,白葡萄酒,白葡萄酒,White Wine,白葡萄酒,【复还20】弃一张牌。对单个敌人赋予时停。,【复还15】弃一张牌。对单个敌人赋予时停。焚毁。,[{buff_ReturnAgain} 20] Discard 1 card. Apply {buff_timestop} to a single enemy.,【復還15】カードを1枚棄てる。敵1体に時停を付与する。焼却。
15,,FALSE,,漩涡沉溺,漩涡沉溺,Drowning Vortex,渦への沈溺,【复还20】将弃牌堆，手牌洗回抽牌堆，并生成随机的不重复的4张牌堆中卡牌的复制到手牌之中，它们的消耗在本回合下次打出消耗为0。若你打出卡牌时此牌在手牌中，则此牌本场战斗费用-1,【复还20】增幅：消耗-1。将弃牌堆，手牌洗回抽牌堆，并生成随机的不重复的4张牌堆中卡牌的复制到手牌之中，她们的消耗在本回合为0。,"[{buff_ReturnAgain} 20] Shuffle the discard pile and hand back into the draw pile, then create 4 random non-duplicate copies of cards from the deck into your hand. They cost 0 this turn. If this card is in your hand when you play a card, this card costs 1 less for this combat.",【復還20】増幅：コスト-1。棄て札と手札を山札に戻してシャッフルし、山札内の重複しないランダムなカード4枚のコピーを手札に生成する。それらのコストはこのターン0。
