Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description1,Description1_zh-Hant,Description1_en,Description1_ja,Description2,Description2_zh-Hant,Description2_en,Description2_ja,Level
Id,备注,名字,名字,Name,名前,图鉴特性1,圖鑒特性1,Bestiary Trait 1,图鉴特性1,,,,,出没层数
10001,,普拉提黏黏,普拉提黏黏,Platy Slime,プラティスライム,<title>怪物集群</title><main>由多个相同的敌人组成</main>,<title>怪物集群</title><main>由多個相同的敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>怪物集群</title><main>同じ敵が複数集まっている</main>,<title>果冻</title><main>弱小的低阶魔物，看起来很好吃</main>,<title>果凍</title><main>弱小的低階魔物，看起來很好吃</main>,<title>Jelly</title><main>A weak low-level monster that looks tasty</main>,<title>ゼリー</title><main>弱い下級モンスターで、美味しそうに見える</main>,1
10002,,红心女仆,紅心女仆,Fragile Heart,ハートのメイド,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<title>Growing Malice</title><main>Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,1
10003,,鼹鼠,鼴鼠,Mole,モグラ,<title>谋财为先</title><main>能够偷取金币</main>,<title>謀財為先</title><main>能夠偷取金幣</main>,<title>Putting Wealth First</title><main>Can steal gold coins</main>,<title>金銭を優先する</title><main>金貨を盗むことができる</main>,<title>走为上计</title><main>收获足够战利品或者生命低下时会逃跑</main>,<title>走為上計</title><main>獲得足夠戰利品或生命值過低時會逃跑</main>,<title>Run for Your Life</title><main>Escape when you've gathered enough loot or when your health is low</main>,<title>逃げるが勝ち</title><main>戦利品が十分あるか体力が低い時に逃げる</main>,1
10004,,灾厄先兆,災厄先兆,The Greedy,災厄の前兆,<title>灾厄一角</title><main>最为温和的一种灾厄</main>,<title>災厄一角</title><main>最溫和的一種災厄</main>,<title>Disaster Fragment</title><main>The mildest type of calamity</main>,<title>災厄の一部</title><main>最も穏やかな災厄の形</main>,,,,,1
*10005,,猎食者,獵食者,Unknown Mollusk,捕食者,<title>怪物集群</title><main>由多个相同的敌人组成</main>,<title>怪物集群</title><main>由多個相同的敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>怪物集群</title><main>同じ敵が複数集まっている</main>,,,,,1
10007,,失心魔女,失心魔女,Mindless Witch,心を失った魔女,<title>魔女躯壳</title><main>复制魔女的属性</main>,<title>魔女軀殼</title><main>複製魔女的屬性</main>,<title>Witch's Shell</title><main>Copies the witch's attributes</main>,<title>魔女の殻</title><main>魔女の特性をコピーする</main>,,,,,1
10008,,最后一餐,最后一餐,Last Supper,最後の晩餐,<title>侵蚀护盾</title><main>能够清除魔女的护盾</main>,<title>侵蝕護盾</title><main>能夠解除魔女的護盾</main>,<title>Corrosive Shield</title><main>Can remove the witch's shield</main>,<title>浸食シールド</title><main>魔女のシールドを消すことができる</main>,,,,,2
10009,,梅花侍从,梅花侍從,Club Servant,クラブの従者,<title>永生者</title><main>难以被杀死</main>,<title>永生者</title><main>難以被殺死</main>,<title>Immortal</title><main>Hard to kill</main>,<title>不死者</title><main>倒しにくい</main>,,,,,1
10010,,深渊之触,深淵之觸,Abyssal Touch,深淵の触手,<title>渐入佳境</title><main>拥有强化自身的意图</main>,<title>漸入佳境</title><main>能夠強化自身</main>,<title>Getting Better and Better</title><main>Can strengthen oneself</main>,<title>次第に絶好調になる</title><main>自身を強化できる</main>,,,,,1
