Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,,,,,
1,在虚无与混沌的边缘，一道沉寂已久的宿体开始被重塑。,在虛無與混沌的邊緣，一道沉寂已久的宿體開始被重塑。,"At the edge of void and chaos, a long-dormant vessel began to be reshaped.",虚無と混沌の狭間で、長きにわたり沈黙していた宿体が再び形作られ始めた。,,,,,,,,,,,,
2,她的意识如同冬眠初醒的幼兽，迟钝而缓慢地爬升。,她的意識如同冬眠初醒的幼獸，遲鈍而緩慢地爬升。,Her consciousness rose like a young beast waking from hibernation—slow and sluggish.,彼女の意識は、冬眠から目覚めたばかりの幼獣のように、鈍く緩やかに浮上していく。,,,,,,,,,,,,
3,在一切的疑惑之前，有一个悬而未决的难题——,在一切的疑惑之前，有一個懸而未決的難題——,"Before any questions could form, one unanswered problem lingered—",あらゆる疑問を抱く前に、まずは一つ、未解決の難題があった――,,,,,,,,,,,,
4,少女的名字是……,少女的名字是……,The maiden’s name is...,少女の名前は……,原初魔女 · 阿米莉娅,原初魔女 · 阿米莉娅,Primordial Witch · Amelia,原初の魔女・アメリア,,,,,,,,
5,阿米莉娅。,阿米莉娅。,Amelia.,アメリア。,,,,,,,,,,,,
6,想起这一点的瞬间，一道声音从黑暗中将阿米莉娅的思绪拽出。,想起這一點的瞬間，一道聲音從黑暗中將阿米莉娅的思緒拽出。,"The instant she remembered that, a voice yanked Amelia’s thoughts out of the darkness.",それを思い出した瞬間、暗闇の中から響く声が、アメリアの意識を現実へと引き戻した。,,,,,,,,,,,,
7,阿米莉娅……？阿米莉娅……？,阿米莉娅……？阿米莉娅……？,Amelia...? Amelia...?,アメリア……？アメリア……？,,,,,,,,,,,,
8,谁……？,誰……？,Who...?,誰……？,,,,,,,,,,,,
9,太好啦！你终于醒了！我还在想要是你醒不过来要不要把你捅死回炉重造一下~,太好啦！你終于醒了！我還在想要是你醒不過來要不要把你捅死回爐重造一下~,"Great! You’re finally awake! I was thinking if you didn’t wake up, maybe I’d have to stab you and send you back for a remake~",よかった！やっとお目覚めね！このまま起きなかったら、いっそグサッと刺して一から作り直そうかと思ってたところよ～,一上来就震撼发言……？,一上來就震撼發言……？,That’s how you greet someone...?,いきなり爆弾発言……？,你这家伙在说什么呢……？,你這家伙在說什么呢……？,What the hell are you talking about...?,あんた一体何言ってんの……？,,,,
10,毕竟这对于你我是最便利的方法呢~我还以为你已经习惯了。,畢竟這對於你我是最便利的方法呢~我還以為你已經習慣了。,"It’s the most convenient way for both of us, after all~ I thought you’d be used to it by now.",だって、それがお互いにとって一番手っ取り早い方法じゃない～もう慣れてると思ってたんだけど。,,,,,,,,,,,,
11,我想应该没人能习惯这种喊人起床的习惯……,我想應該沒人能習慣這種喊人起床的習慣……,I don’t think anyone gets used to that kind of wake-up call...,こんなヤバいな起こし方に慣れる奴なんていないでしょ……,,,,,,,,,,,,
12,不对哦~如果是阿米莉娅酱的话，我想一定能够理解的。,不對哦~如果是阿米莉娅醬的話，我想一定能夠理解的。,"Not at all~ If it’s Amelia-chan, I’m sure you’d understand.",そんなことないわ～アメリアちゃんなら、きっと分かってくれると信じてるもの。,,,,,,,,,,,,
13,……不要一边笑着一边说着恐怖的话啊喂！,……不要一邊笑著一邊說著恐怖的話啊喂！,"...Don’t say terrifying things with a smile on your face, okay?",……満面の笑みでサイコパスなこと言わないでくれる！？,,,,,,,,,,,,
14,啊……忘了确认，毕竟是刚从长眠中苏醒，阿米莉娅酱，关于我和这个世界你还记得多少……？,啊……忘了確認，畢竟是剛從長眠中蘇醒，阿米莉娅醬，關于我和這個世界你還記得多少……？,"Ah... I forgot to check. Since you just woke from a long sleep, Amelia-chan, how much do you remember about me and this world...?",あら……確認するのを忘れてたわ。長い眠りから覚めたばかりだものね。アメリアちゃん、私とこの世界のこと、どれくらい覚えてる……？,,,,,,,,,,,,
15,差不多只记得我的名字和你是神经病杀人狂这两件事。,差不多只記得我的名字和你是神經病殺人狂這兩件事。,Pretty much just my name and that you’re a psycho murderer.,自分の名前と、あんたがイカれた殺人狂だってことくらいしか覚えてないけど。,,,,,,,,,,,,
16,欸~这次是失忆的戏码吗，难得有阿米莉娅酱这么有兴致，哪有不配合的道理~,欸~這次是失憶的戲碼嗎，難得有阿米莉娅醬這么有興致，哪有不配合的道理~,"Oh~ So it’s the amnesia act this time? If Amelia-chan’s having so much fun with it, how could I not play along~",え～今回は記憶喪失のシチュエーション？アメリアちゃんがそんなノリ気なら、合わせてあげないわけにはいかないわね～,,,,,,,,,,,,
17,尽管对方的脸上始终挂着微笑，阿米莉娅心里还是有些发毛。,盡管對方的臉上始終掛著微笑，阿米莉娅心里還是有些發毛。,"Though the smile never left the other’s face, Amelia still felt a chill.",相手の顔には終始笑みが張り付いていたが、アメリアは内心少しゾッとしていた。,,,,,,,,,,,,
18,我的名字是克莉斯娜，给你发薪水的上司，准确的说是前上司……？毕竟已经过去了那么久劳务合同什么的早就失效了。,我的名字是克莉斯娜，給你發薪水的上司，準確的說是前上司……？畢竟已經過去了那么久勞務合同什么的早就失效了。,"My name is Krisna. I’m the boss who paid your salary—well, your former boss...? It’s been so long that any labor contract has long since expired.",私の名前はクリスナ。あなたに給料を払う上司よ。正確には元上司……かしら？だってあれから随分経ってるし、労務契約なんてとっくに失効してるもの。,,,,,,,,,,,,
19,所以当务之急是先签一份【新的】劳务合同！为了之后能更好的开展工作，订立清晰明确的契约是必要的。,所以當務之急是先簽一份【新的】勞務合同！為了之後能更好的開展工作，訂立清晰明確的契約是必要的。,"So the first thing we need to do is sign a [new] labor contract! To work better from now on, we need a clear and definite agreement.",だから、今一番急ぎの用件は「新しい」労務契約を結ぶこと！今後スムーズにお仕事を進めるためにも、明確な契約を交わしておく必要があるの。,,,,,,,,,,,,
20,我有权拒绝吗？你看起来就很可疑。,我有權拒絕嗎？你看起來就很可疑。,Do I have the right to refuse? You look pretty suspicious.,断る権利はある？どう見ても胡散臭いんだけど。,,,,,,,,,,,,
21,阿米莉娅毫不掩饰自己的警惕与嘲弄。,阿米莉娅毫不掩飾自己的警惕與嘲弄。,Amelia didn’t bother hiding her wariness and mockery.,アメリアは一切隠すことなく、警戒と嘲笑の眼差しを向けた。,,,,,,,,,,,,
22,当然！这是你的权利，我不会强迫阿米莉娅酱去做一份自己不认可的工作，那样对我司的运营也不利。,當然！這是你的權利，我不會強迫阿米莉娅醬去做一份自己不認可的工作，那樣對我司的運營也不利。,Of course! That’s your right. I won’t force Amelia-chan into work you don’t agree with—that wouldn’t be good for our business either.,もちろん！それはあなたの権利よ。アメリアちゃんが納得いかない仕事を無理やりやらせたりはしないわ。そんなの、うちの会社の運営にも悪影響だもの。,,,,,,,,,,,,
23,不过……那也就意味着，这里的一切都将与你无关，毕竟魔女屋是为魔女准备的工作和休息场所，我只能期待与阿米莉娅的再会了……,不過……那也就意味著，這里的一切都將與你無關，畢竟魔女屋是為魔女準備的工作和休息場所，我只能期待與阿米莉娅的再會了……,"But... that would mean nothing here has anything to do with you. The Witch's House is a place for witches to work and rest, so I can only hope we’ll meet again someday， Amelia...",でも……それはつまり、ここにある全てがあなたと無関係になるってこと。魔女屋はあくまで魔女が働き、休むための場所だからね。アメリアちゃんとの再会を祈りつつ、お別れするしかないわね……,,,,,,,,,,,,
24,克莉斯娜露出了伤心的表情，还伸手拭去眼角的泪花。不过无论如何，这副作态都令人感到违和。,克莉斯娜露出了傷心的表情，還伸手拭去眼角的淚花。不過無論如何，這副作態都令人感到違和。,"Krisna put on a sad face and even wiped a tear from the corner of her eye. Either way, the act felt deeply unsettling.",クリスナは悲しそうな顔を作り、目尻の涙を拭う仕草を見せた。だがどう見ても、そのわざとらしい態度には違和感しかなかった。,,,,,,,,,,,,
