Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,所以……这就算是解决了？,所以……這就算是解決了？,So... does that count as solved?,それで……これで解決したってことでいいの？,,,,,,,,
2,没错哦。,沒錯哦。,That's right.,その通りだよ。,,,,,,,,
3,从模拟来看，你被奥尔德林所拒绝，每次都会被精准打击的原因，应该就在于那个审判机关。,從模擬來看，你被奧爾德林所拒絕，每次都會被精準打擊的原因，應該就在于那個審判機關。,"Judging from the simulation, the reason Aldrin rejected you and you were precisely targeted every time should have been that Judgment Engine.",シミュレーションを見る限り、あなたがオルドリンに拒絶され、毎回正確に狙い撃ちされていた原因は、あの審判機関にあったはずだよ。,,,,,,,,
4,但在你的努力之下，审判机关成功过载，自然也就无法再妨碍到你了。,但在你的努力之下，審判機關成功過載，自然也就無法再妨礙到你了。,"But thanks to your efforts, the Judgment Engine successfully overloaded, so naturally it can no longer interfere with you.",でも、あなたの頑張りで審判機関は無事に過負荷を起こした。だからもう、あなたの邪魔はできないってわけ。,,,,,,,,
5,可是……这不是模拟吗？为什么会影响到现实世界呢？,可是……這不是模擬嗎？為什么會影響到現實世界呢？,"But... this was only a simulation, wasn't it? Why would it affect the real world?",でも……これってシミュレーションじゃなかったの？ どうして現実世界に影響するの？,,,,,,,,
6,原本当然是不行的啦。,原本當然是不行的啦。,"Normally, of course it couldn't.",本来なら、もちろん無理だよ。,,,,,,,,
7,但如果……是像「审判机关」这样的联网机械，那就得另当别论了哦？,但如果……是像「審判機關」這樣的聯網機械，那就得另當別論了哦？,"But if it's networked machinery like the ""Judgment Engine""... that's a different story, isn't it?",でも……「審判機関」みたいなネットワーク接続された機械なら、話は別だよね？,,,,,,,,
8,也就是黑客吗……看来我得把我的学习资料都藏深一点儿了。,也就是黑客嗎……看來我得把我的學習資料都藏深一點兒了。,"So, hacking... Looks like I need to hide my study materials a little deeper.",つまりハッキングか……私の学習資料、もっと奥に隠しておいた方がよさそうね。,,,,,,,,
9,对了对了。,對了對了。,"Oh, right.",そうそう。,,,,,,,,
10,既然不稳定因素已经成功解决了，那么……阿米莉娅酱？,既然不穩定因素已經成功解決了，那么……阿米莉娅醬？,Since the unstable factor has been dealt with... Amelia-chan?,不安定要素も無事に解決したことだし……アメリアちゃん？,,,,,,,,
11,咱们是不是该谈谈工作相关的事情了呢？,咱們是不是該談談工作相關的事情了呢？,Shouldn't we talk about work now?,そろそろ、お仕事の話をするべきじゃないかな？,,,,,,,,
12,……我可以拒绝吗？,……我可以拒絕嗎？,...Can I refuse?,……拒否してもいい？,,,,,,,,
13,（笑）你觉得呢？,（笑）你覺得呢？,(Laughs) What do you think?,（笑）どう思う？,,,,,,,,
14,就这样，原本为了摆脱灾厄，过上无忧无虑，可以随便吃随便睡的日子而进行的模拟。,就這樣，原本為了擺脫災厄，過上無憂無慮，可以隨便吃隨便睡的日子而進行的模擬。,"And so, the simulation originally meant to free her from calamity and let her live a carefree life of eating and sleeping whenever she pleased...",こうして、災厄から逃れ、好きなだけ食べて好きなだけ眠る気楽な日々を送るために始めたはずのシミュレーションは……,,,,,,,,
15,却成为了压倒魔女的最后一根稻草。,卻成為了壓倒魔女的最后一根稻草。,...became the final straw that crushed the witch.,……魔女を押し潰す最後の一押しとなった。,,,,,,,,
16,我不想去上班啊QAQ！,我不想去上班啊QAQ！,"I don't want to go to work, QAQ!",働きたくないよQAQ！,,,,,,,,
