Id,Name,Name_en,Name_zh-Hant,Name_ja,Title,Title_en,Title_zh-Hant,Title_ja,Dia,Dia_en,Dia_zh-Hant,Dia_ja
唯一标识,,,,,头衔,Title,頭銜,头衔,场景对话头衔,Scene dialogue title,場景對話頭銜,シーン会話の肩書き
narrator,,,,,,,,,,,,
amelia,阿米莉娅,Amelia,阿米莉娅,アメリア,原初魔女,Primordial Witch,原初魔女,原初の魔女,工作日也不在线,Offline on weekdays too,工作日也不在線,平日もオンラインにいません
Krisna,克莉斯娜,Krisna,克莉斯娜,クリスナ,主天使,Archangel,主天使,主天使,～(∠・ω< )⌒★,~(^_-)~*,～(∠・ω< )⌒★,～(∠・ω< )⌒★
Adele,阿黛拉,Adele,阿黛拉,アデル,支配魔女,Witch of Domination,支配魔女,支配の魔女,,,,
nana,奈奈,Nana,奈奈,ナナ,见习魔女,Apprentice Witch,見習魔女,見習い魔女,水晶布丁~,Crystal pudding~,水晶布丁~,クリスタルプリン~
coco,可可,Coco,可可,ココ,见习天使,Apprentice Angel,見習天使,見習い天使,M.C.A,M.C.A,M.C.A,M.C.A
little_krisna,小克莉丝娜,Little Krisna,小克莉丝娜,小さなクリスナ,小天使,Little Angel,小天使,小さな天使,/help 使用说明,/help Instructions,/help 使用說明,/help 使い方
ermia,厄米娅,Ermia,厄米娅,アーミヤ,混沌魔女,Chaos Witch,混沌魔女,カオスの魔女,魔力回路疏通联系!,Contact for mana circuit maintenance!,魔力迴路疏通聯繫!,魔力回路の調整はご連絡を！
berserker,赫拉克勒斯,Heracles,赫拉克勒斯,ヘラクレス？,锻造之神,God of Forging,鍛造之神,鍛造の神,,,,
vivian,薇薇安,Vivian,薇薇安,ヴィヴィアン,拟态魔女,Mimic Witch,擬態魔女,擬態の魔女,,,,
