Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,,,,,
1,呜哇……这只怪物看起来好脏。绝对不要用拳头去打，手会弄脏的。而且一点都不可爱！,嗚哇……這只怪物看起來好臟。絕對不要用拳頭去打，手會弄臟的。而且一點都不可愛！,Eww... This monster looks so filthy. I'm definitely not punching it—my hands would get dirty. And it's not cute at all!,うわぁ……このモンスター、すごく汚い。絶対に素手で殴りたくない、手が汚れちゃう。それに全然可愛くないし！,,,,,,,,,,,,
2,哦？阿米莉娅酱，你终于回忆起一些作为【魔女】的本能了吗？,哦？阿米莉娅醬，你終于回憶起一些作為【魔女】的本能了嗎？,"Oh? Amelia-chan, have you finally remembered some of your instincts as a [Witch]?",おや？アメリアちゃん、ついに「魔女」としての本能を少しは思い出した？,,,,,,,,,,,,
3,……你这是在嘲讽我吧。说起来，刚刚好像回忆起了一些不太妙的术式。,……你這是在嘲諷我吧。說起來，剛剛好像回憶起了一些不太妙的術式。,"......You're mocking me, aren't you? Come to think of it, I just recalled a rather nasty spell formula.",……それ、絶対煽ってるよね。そういえば、さっきちょっとヤバめの術式を思い出したかも。,,,,,,,,,,,,
4,这就对了！与其费力气去互殴，不如给它加点'佐料'！毕竟，我们是魔女嘛……,這就對了！與其費力氣去互毆，不如給它加點'佐料'！畢竟，我們是魔女嘛……,"That's right! Rather than wasting energy on a slugfest, let's add some 'seasoning' to it! After all, we are witches...",その意気よ！わざわざ体力を使って殴り合うより、ちょっと「スパイス」を加えてあげるのが一番！なんたって、私たちは魔女なんだから……,,,,,,,,,,,,
5,比如……让它的伤口无法愈合的诅咒，或者是让它五脏六腑都溃烂的毒素？,比如……讓它的傷口無法愈合的詛咒，或者是讓它五臟六腑都潰爛的毒素？,"Like... a curse that keeps its wounds from healing, or a toxin that rots its internal organs?",例えば……傷口が塞がらなくなる呪いとか、五臓六腑をドロドロに溶かす中毒とか？,,,,,,,,,,,,
6,真是恶趣味呢…看着敌人在痛苦中慢慢倒下，而我们只要站在旁边修指甲就好了，这就是作为【魔女】的生存法则。,真是惡趣味呢…看著敵人在痛苦中慢慢倒下，而我們只要站在旁邊修指甲就好了，這就是作為【魔女】的生存法則。,How delightfully twisted... Watch the enemy slowly fall in agony while we just stand there filing our nails—that's the survival law of a [Witch].,ほんと悪趣味だよね……敵が苦しみながらゆっくりと倒れていくのを、傍らで爪のお手入れでもしながら見物する。これが「魔女」の生存法則ってわけ。,,,,,,,,,,,,
7,你这么说着比它更像怪物了喂！,你這么說著比它更像怪物了喂！,"You sound more like a monster than it does, you know!",そう言ってるあんたの方が、よっぽどモンスターみたいなんですけど！,,,,,,,,,,,,
8,不过这才是魔女该有的战斗方式嘛！那种挥舞大剑流汗的野蛮人打法，果然还是不适合我。,不過這才是魔女該有的戰鬥方式嘛！那種揮舞大劍流汗的野蠻人打法，果然還是不適合我。,But this is how a Witch ought to fight! That barbarian style of swinging a greatsword and sweating? Not for me at all.,でもこれこそが魔女らしい戦い方よね！大剣を振り回して汗だくになるような野蛮なスタイルは、やっぱり私には合わないわ。,,,,,,,,,,,,
9,"那么，要用这份""礼物""，为这只怪物送上华丽丽的死亡吗？","那么，要用這份""禮物""，為這只怪物送上華麗麗的死亡嗎？","So, shall we deliver a gorgeous death to this monster with this ""gift""?",それじゃあ、この「プレゼント」で、このモンスターに華麗なる死をお届けしちゃおうか？,是,是,Yes,はい,否,否,No,いいえ,,,,
