Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_ja,Description_en
唯一的标识（不能重复）,备注,名称,名稱,Name,名称,描述,描述,説明,Description
timelock,,时之笼,時之籠,Timelock,時の籠,层数等同于已储存的效果数，回合结束时，结算所有已储存的效果并清空。,層數等同於已儲存的效果數，回合結束時，結算所有已儲存的效果並清空。,スタック数は保存された効果の数に等しい。ターン終了時、保存された全ての効果を発動し、全てクリアする。,"Timelock stacks equal the number of stored effects. At the end of the turn, resolve all stored effects and clear them."
epiphany,,启示,啟示,Epiphany,啓示,每次层数变动时，给予层数({stack})点回合自然恢复魔能。,每次層數變動時，給予層數({stack})點本回合自然恢復魔能。,スタック数が変動するたび、スタック数({stack})分の自然回復魔力をこのターン獲得する。,"Each time the number of stacks changes, gain natural mana regeneration equal to stacks ({stack}) this turn."
cripple,,失能,失能,Cripple,無力化,受伤时玩家失去层数1点魔能。,受傷時玩家失去層數({stack})點魔能。,ダメージを受けた時、スタック数({stack})分の魔力を失う。,"When damaged, the player loses mana equal to stacks ({stack})."
sourcecast,,源蜕,源蛻,Source Cast,源化,失去魔能两次后抽层数({stack})张牌。,失去魔能兩次後抽層數({stack})張牌。,魔力を2回失うたび、スタック数({stack})に等しい枚数のカードを引く。,"After losing mana twice, draw cards equal to stacks ({stack})."
bloodwall,,血墙,血牆,Bloodwall,血の壁,每次行动时获得层数({stack})点护盾。,每次行動時獲得層數({stack})點護盾。,行動するたび、スタック数({stack})分のシールドを獲得する。,Gain Shield equal to stacks ({stack}) each time you act.
timestop,,时停,時停,Timestop,時間停止,轮到单位行动时，消耗1层{buff_timestop}，跳过本回合。,輪到單位行動時，消耗1層{buff_timestop}，跳過本回合。,ユニットのターン開始時、{buff_timestop}を1スタック消費し、このターンをスキップする。,"When this unit’s turn begins, consume 1 stack of {buff_timestop} and skip this turn."
elements,,元素,元素,Elements,元素,行动后获得层数*2({stack*2})层超凡。,行動時獲得層數*2({stack*2})層{buff_extraordinary}。,行動時、スタック数×2({stack*2})の{buff_extraordinary}を獲得する。,"After acting, gain {stack*2} stacks of {buff_extraordinary}."
fast,,敏锐,敏銳,Fast,迅速,每回合开始时额外抽等同于层数({stack})张牌。,每回合開始時額外抽等同於層數({stack})張牌。,ターン開始時、スタック数({stack})に等しい枚数のカードを追加で引く。,"At the start of each turn, draw additional cards equal to the number of stacks ({stack})."
immortal,,不朽,不朽,Immortal,不朽,受两次伤时获得层数({stack})点魔能。,受兩次傷時獲得層數({stack})點魔能。,2回ダメージを受けるたび、スタック数({stack})分の魔力を獲得する。,"After taking damage twice, gain mana equal to stacks ({stack})."
frenzy,,狂暴,狂暴,Frenzy,狂暴,"每次行动时获得层数({stack})层{buff_keenedge}，如果血量大于1,受到2点真实伤害。",每次行動時獲得層數({stack})層{buff_keenedge}，若血量大於1，受到2點真實傷害。,行動するたび、スタック数({stack})の{buff_keenedge}を獲得する。HPが1より大きい場合、2の貫通ダメージを受ける。,"When acting, gain stacks ({stack}) of {buff_keenedge}. If HP is greater than 1, take 2 True Damage."
unyielding,,不屈,不屈,Unyielding,不屈,每受伤两次抽层数({stack})张牌。,每受傷兩次抽層數({stack})張牌。,2回ダメージを受けるたび、スタック数({stack})に等しい枚数のカードを引く。,"For every 2 times damaged, draw cards equal to stacks ({stack})."
toxin,,毒素,毒素,Toxin,毒素,每回合结束时受到层数({stack})点真实伤害。,每回合結束時受到層數({stack})點真實傷害。,ターン終了時、スタック数({stack})に等しい貫通ダメージを受ける。,"At the end of each turn, take True Damage equal to stacks ({stack})."
oblivion,,遗忘,遺忘,Oblivion,忘却,每抽到3张卡牌时丢弃1张卡牌，回合结束时层数-1。,每抽到3張卡牌時丟棄1張卡牌，回合結束時層數-1。,カードを3枚引くたび、カードを1枚捨てる。ターン終了時、スタック数-1。,"For every 3 cards drawn, discard 1 card. At turn end, lose 1 stack."
bleeding,,流血,流血,Bleeding,出血,行动时受到层数点({0})异常伤害。层数大于30时，伤害翻倍。,行動時受到層數點({0})真實傷害。層數大於30時，傷害翻倍。,行動時、スタック数({0})に等しい貫通ダメージを受ける。スタック数が30を超える場合、ダメージは倍になる。,"When acting, take True Damage equal to stacks ({0}). If stacks exceed 30, damage is doubled."
evergreen,,自愈,自癒,Self-Healing,再生,回合开始时恢复层数({stack})点生命。,回合開始時恢復層數({stack})點生命。,ターン開始時、スタック数({stack})に等しいHPを回復する。,"At the start of the turn, restore Health equal to stacks ({stack})."
