Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,,,,,
1,阿米莉娅缓步走在长廊上，高跟鞋敲击地面的声音——哒、哒、哒，清晰得有些刺耳。,阿米莉婭緩步走在长廊上，高跟鞋敲擊地面的聲音——噠、噠、噠，清晰得有些刺耳。,"Amelia walks slowly down the corridor; the click of her heels—tap, tap, tap—is piercingly clear.",アメリアは長い廊下をゆっくりと歩く。ヒールが床を叩く音――カツ、カツ、カツ――が、やけにクリアで耳に刺さる。,,,,,,,,,,,,
2,她在一排空荡荡的画框前停下脚步。,她在一排空蕩蕩的畫框前停下腳步。,She stops before a row of empty frames.,彼女は空っぽの額縁が並ぶ前で足を止めた。,,,,,,,,,,,,
3,这是一方本该不处于世的时空。,這是一方本該不處于世的時空。,This is a time and place that should not exist in this world.,ここは本来、この世に存在するはずのない時空間だ。,,,,,,,,,,,,
4,阿米莉娅自言自语着，不知道在和谁说话。,阿米莉婭自言自語著，不知道在和誰說話。,Amelia mutters to herself—it's unclear who she's talking to.,アメリアは独り言をつぶやく。誰に向けて話しているのかは分からない。,,,,,,,,,,,,
5,你知道吗？对于魔女来说，所谓的【预言】，并不是去窥探未来那种无聊的把戏。,你知道嗎？對於魔女來說，所謂的【預言】，并不是去窺探未來那種无聊的把戲。,"You know? For witches, the so-called [prophecy] isn't that boring trick of peeking into the future.",知ってる？魔女にとって「予言」なんて、未来を覗き見するような退屈な手品じゃないのよ。,,,,,,,,,,,,
6,未来那种东西，如果不去观测，它就是一团乱糟糟的颜料。,未來那種東西，如果不去觀測，它就是一團亂糟糟的顏料。,"The future, if left unobserved, is just a messy blob of paint.",未来なんてものは、観測しなければただのぐちゃぐちゃな顔料の塊でしかない。,,,,,,,,,,,,
7,只要我们将画作放入画框，钉在墙上……,只要我們將畫作放入畫框，釘在墻上……,Once we put the painting in the frame and nail it to the wall...,描き上げた絵を額縁に収めて、壁に打ち付けさえすれば……,,,,,,,,,,,,
8,那幅画里的景色，就会被强制收束为唯一的真理，变为既定的【事实】,那幅畫里的景色，就會被強制收束為唯一的真理，變為既定的【事實】,the scene in that painting is forced into a single truth—into an established [fact].,その絵の中の景色は、唯一の真理へと強制的に収束され、既定の「事実」に変わるの。,,,,,,,,,,,,
9,这里有八幅杰作的草稿……无论是喜剧，悲剧，还是荒诞剧，只要是所选中的，世界就会乖乖照着演。,這里有八幅杰作的草稿……无論是喜劇，悲劇，還是荒誕劇，只要是所選中的，世界就會乖乖照著演。,"Here are drafts of eight masterpieces... Comedy, tragedy, or absurdist—whichever we choose, 
the world will play it out obediently.",ここには八つの傑作の下書きがあるわ……喜劇であれ、悲劇であれ、不条理劇であれ、選ばれた通りに世界は大人しく演じてくれる。,,,,,,,,,,,,
10,魔女的能力就是如此不讲道理~,魔女的能力就是如此不講道理~,A witch's power is just that unreasonable~,魔女の力って、こんな風に理不尽なものなのよ～,,,,,,,,,,,,
11,不过，一旦挂上去，可就不能反悔了哦？,不過，一旦掛上去，可就不能反悔了哦？,"But once it's hung, there's no backing out, okay?",でも、一度壁に掛けたら、もうやり直しはきかないからね？,,,,,,,,,,,,
12,"既然是你亲手布置的展厅，无论遇到什么地狱般的景色……
都要笑着欣赏到最后哦？","既然是你親手布置的展廳，无論遇到什么地獄般的景色……
都要笑著欣賞到最后哦？","Since it's your own exhibition, no matter what hellish scenes you encounter... 
keep smiling and watch until the end, okay?",せっかくご自分で飾り付けたギャラリーなんだから、どんな地獄絵図が待っていようと……最後まで笑顔で鑑賞してよね？,,,,,,,,,,,,
13,阿米莉娅转身走向第一幅巨大的画作，身影融入色彩的漩涡中。,阿米莉婭轉身走向第一幅巨大的畫作，身影融入色彩的漩渦中。,Amelia turns and walks toward the first huge painting; her figure melts into a whirl of color.,アメリアはきびすを返し、一枚目の巨大な絵画へと歩き出す。その姿は色彩の渦の中へと溶け込んでいった。,,,,,,,,,,,,
14,不过，如果第一站能有下午茶的话，我也不是不能给你打个好评。,不過，如果第一站能有下午茶的話，我也不是不能給你打個好評。,"Still, if the first stop includes afternoon tea, I might just give you a good review.",ま、最初の目的地で美味しいアフタヌーンティーでも出るなら、高評価をつけてあげないこともないけどね。,,,,,,,,,,,,
