Id,Note,Image,Name,Description,Name_zh-Hant,Name_en,Description_zh-Hant,Description_en,Name_ja,Description_ja
Id,备注,图片路径,标题,正文,標題,Title,正文,Description,タイトル,本文
Test1,,Images/Tutorial/House/主页面,欢迎参与测试~！,《魔女：终末旅途》是一款卡牌肉鸽游戏，你可以出发冒险，使用卡牌进行战斗和游戏，获取真理之晶，利用真理之晶的资源解锁和升级魔女屋内的设施，提高属性或者解锁更多魔女，卡牌，遗物，也可以创建自定义卡牌加入游戏，来挑战更高的难度,歡迎參與測試~！,Welcome to the Test~!,《魔女：終末旅途》是一款卡牌肉鴿遊戲，你可以出發冒險，使用卡牌進行戰鬥和遊戲，獲取真理之晶，利用真理之晶的資源解鎖和升級魔女屋內的設施，提高屬性或者解鎖更多魔女，卡牌，遺物，也可以創建自定義卡牌加入遊戲，來挑戰更高的難度,"Witch: The Final Journey is a roguelike card game. You can embark on adventures, use cards for combat, obtain Truth Crystals, and spend them to unlock and upgrade facilities in the Witch's House. This allows you to improve attributes, unlock more witches, cards, and relics. You can also create custom cards to add to the game and challenge higher difficulties.",テストへようこそ～！,「魔女：終末の旅」はカードローグライクゲームです。冒険に出かけ、カードを使って戦闘やゲームを進め、真理の結晶を手に入れましょう。真理の結晶を使って魔女の家の施設を解放・アップグレードし、ステータスを向上させたり、より多くの魔女、カード、遺物を解放したりできます。また、カスタムカードを作成してゲームに加え、より高い難易度に挑戦することも可能です。
Test2,,Images/Tutorial/House/主页面,欢迎参与测试~！,"游戏当前版本号为0.7.15.3
受限于工期和制作组的产能，游戏目前仍有许多音画部分素材缺失，我们会以日为单位持续完善改进
有任何问题，无论是关于游戏设计的，灵感想法，剧情，人设，音乐，美术，bug等等建议或者意见都可以在粉丝群艾特我们反馈，我们会认真对待每一位玩家的意见并积极改进！
感谢您的耐心~",歡迎參與測試~！,Welcome to the Test~!,"遊戲當前版本號為0.7.15.3
受限于工期和製作組的產能，遊戲目前仍有許多音畫部分素材缺失，我們會以日為單位持續完善改進
有任何問題，無論是關于遊戲設計的，靈感想法，劇情，人設，音樂，美術，bug等等建議或者意見都可以在粉絲群艾特我們反饋，我們會認真對待每一位玩家的意見并積極改進！
感謝您的耐心~","The current game version is 0.7.15.3.\nDue to production schedules and team capacity, many audio and visual assets are still missing. We will continue to improve and complete them on a daily basis.\nIf you have any questions, ideas, or suggestions regarding game design, story, character design, music, art, bugs, etc., please feel free to contact us in the fan group. We take every player's feedback seriously and will actively make improvements!\nThank you for your patience~",テストへようこそ～！,現在のゲームバージョンは0.7.15.3です。\n制作期間と開発チームのリソースの都合上、現在も多くの音声やグラフィック素材が不足していますが、日々改善と実装を続けてまいります。\nゲームデザイン、アイデア、ストーリー、キャラクターデザイン、音楽、アート、バグなど、ご質問やご意見がございましたら、ファンコミュニティでお気軽にご連絡ください。プレイヤーの皆様からのご意見を真摯に受け止め、積極的に改善に努めます！\nご辛抱いただき、ありがとうございます～
Outside upgrades,,Images/Tutorial/House/升级,局外升级,"点击魔女屋中的克莉斯娜女神像可以打开魔女屋升级面板，在这里你可以提升魔女的基础属性，金币收益，或者解锁更多魔女以及其他拓展内容。

魔女屋升级需要的真理之晶可以通过完成冒险来获得（即使冒险失败也会获得部分真理之晶）",局外升級,Meta Upgrades,"點擊魔女屋中的克莉斯娜女神像可以打開魔女屋升級面板，在這里你可以提升魔女的基礎屬性，金幣收益，或者解鎖更多魔女以及其他拓展內容。

魔女屋升級需要的真理之晶可以通過完成冒險來獲得（即使冒險失敗也會獲得部分真理之晶）","Click the Krisna statue in the Witch's House to open the upgrade panel. Here, you can enhance the witch's base attributes, increase gold income, or unlock more witches and other content.\n\nThe Truth Crystal required for upgrades can be obtained by completing adventures (you will still get some even if you fail).",ゲーム外でのアップグレード,魔女の家のクリスナ女神像をクリックすると、アップグレード画面が開きます。ここでは、魔女の基本ステータスを向上させたり、ゴールドの獲得量を増やしたり、新しい魔女やその他のコンテンツを解放したりできます。\n\nアップグレードに必要な真理の結晶は、冒険を完了することで獲得できます（冒険に失敗しても一部獲得可能です）。
Difficulty selection,,Images/Tutorial/House/难度选择,难度选择,"点击魔女屋中的鬼神像可以打开难度面板，选择合适的词条可以提高游戏的难度和真理之晶的获取倍率，15级难度会达到真理之晶获取倍率的上限
您也可以继续提高难度挑战自身",難度選擇,Difficulty Selection,"點擊魔女屋中的鬼神像可以打開難度面板，選擇合適的詞條可以提高遊戲的難度和真理之晶的獲取倍率，15級難度會達到真理之晶獲取倍率的上限
您也可以繼續提高難度挑戰自身",Click the demon statue in the Witch's House to open the difficulty panel. Selecting appropriate modifiers can increase the game's difficulty and the multiplier for obtaining Truth Crystal. The maximum multiplier is reached at difficulty level 15.\nYou can continue to increase the difficulty to challenge yourself.,難易度選択,魔女の家の鬼神像をクリックすると、難易度パネルが開きます。適切な項目を選択することで、ゲームの難易度と真理の結晶の獲得倍率を上げることができます。難易度15で獲得倍率の上限に達しますが、\nさらに難易度を上げて自分自身に挑戦することも可能です。
SafeBox,,Images/Tutorial/Adventure/保险箱,保险箱,保险箱内可以储存金币，遗物，卡牌等资源，在游戏开局时，保险箱内的物品可以带入游戏内，通关游戏，或者在游戏中遇到保险箱也可以将游戏内的道具带回魔女屋,保險箱,Safe Box,保險箱內可以儲存金幣，遺物，卡牌等資源，在遊戲開局時，保險箱內的物品可以帶入遊戲內，通關遊戲，或者在遊戲中遇到保險箱也可以將遊戲內的道具帶回魔女屋,"The Safe Box can be used to store resources like gold, relics, and cards. At the beginning of a run, items from the Safe Box can be brought into the game. After clearing a run, or by encountering a Safe Box during a run, you can also bring in-game items back to the Witch's House.",金庫,金庫にはゴールド、遺物、カードなどのリソースを保管できます。ゲーム開始時、金庫内のアイテムをゲームに持ち込むことができます。ゲームをクリアしたり、ゲーム中に金庫を見つけたりすると、ゲーム内のアイテムを魔女の家に持ち帰ることもできます。
Illustrated book,,Images/Tutorial/House/图鉴,图鉴,点击魔女屋中的书架可以打开图鉴，用于查阅已发现的卡牌，遗物等,圖鑒,Codex,點擊魔女屋中的書架可以打開圖鑒，用於查閱已發現的卡牌，遺物等,"Click the bookshelf in the Witch's House to open the Codex, where you can view discovered cards, relics, and other items.",図鑑,魔女の家の本棚をクリックすると図鑑が開きます。発見したカードや遺物などを確認できます。
Announcement,,Images/Tutorial/House/主页面,公告,点击魔女屋中的小黑板可以查看游戏公告，查询游戏最新更新的内容，游戏的变化，或者历史更新记录，游戏的公告是游戏内的数据，需要更新游戏才会刷新，不是网游的实时公告,公告,Announcements,點擊魔女屋中的小黑板可以查看遊戲公告，查詢遊戲最新更新的內容，遊戲的變化，或者歷史更新記錄，遊戲的公告是遊戲內的數據，需要更新遊戲才會刷新，不是網游的實時公告,"Click the small blackboard in the Witch's House to view game announcements, check the latest update content, game changes, or historical update records. The announcements are in-game data and will only refresh when the game is updated; they are not real-time online announcements like in an online game.",お知らせ,魔女の家の小さな黒板をクリックすると、ゲームのお知らせを確認できます。最新のアップデート内容、ゲームの変更点、過去の更新履歴などを閲覧できます。これらのお知らせはゲーム内データであり、ゲームのアップデート時に更新されるもので、オンラインゲームのようなリアルタイムのお知らせではありません。
CardEditor,,Images/Tutorial/House/自定义卡牌,自定义卡牌,消耗真理之晶可以编辑卡牌，编辑好的卡牌需要替换掉默认的卡牌池才会生效,自定義卡牌,Custom Cards,消耗真理之晶可以編輯卡牌，編輯好的卡牌需要替換掉默認的卡牌池才會生效,You can spend Truth Crystals to edit cards. Edited cards will only take effect after replacing cards in the default card pool.,カスタムカード,真理の結晶を消費してカードを編集できます。編集したカードは、デフォルトのカードプールと入れ替えることで効果を発揮します。
DesChoice,,Images/Tutorial/MapSelect/命运选择,命运选择,"游戏地图遭遇的大部分情景都可以自由选择
在游戏开始时，会给玩家分发一组命运牌手牌
玩家需要将手牌填入画框节点内，直到所有节点填满，然后点击下一天开始游戏
游戏会按照命运牌的顺序依次执行，全部执行后进入下一天，重新分发手牌
需要注意的是有一些节点会在一开始就锁定，无法替换",命運選擇,Destiny Selection,"遊戲地圖遭遇的大部分情景都可以自由選擇
在遊戲開始時，會給玩家分發一組命運牌手牌
玩家需要將手牌填入畫框節點內，直到所有節點填滿，然後點擊下一天開始遊戲
遊戲會按照命運牌的順序依次執行，全部執行后進入下一天，重新分發手牌
需要注意的是有一些節點會在一開始就鎖定，無法替換","Most scenarios encountered on the game map can be freely chosen.\nAt the start of the game, a hand of Destiny Cards is dealt to the player.\nThe player must place these cards into the frame nodes until all nodes are filled, then click ""Next Day"" to start.\nThe game will proceed in the order of the Destiny Cards. After all are executed, the next day begins, and a new hand is dealt.\nNote that some nodes are locked from the start and cannot be replaced.",運命選択,"ゲームマップで遭遇するほとんどの状況は自由に選択できます。
ゲーム開始時、プレイヤーには一組の運命カードが配られます。
プレイヤーは全てのノードが埋まるまで、これらのカードを絵画のノードに配置し、「次の日へ」をクリックしてゲームを開始します。
ゲームは運命カードの順に進行し、全て実行されると次の日になり、新しい手札が配られます。
一部のノードは最初からロックされており、交換できない点にご注意ください。"
DesType,,Images/Tutorial/MapSelect/命运选择,命运牌类型,命运牌具有不同类型，大体分为场景，事件，灾厄三种，通过不同的卡牌边框来区分,命運牌類型,Destiny Card Types,命運牌具有不同類型，大體分為場景，事件，災厄三種，通過不同的卡牌邊框來區分,"Destiny Cards come in different types, broadly categorized into Scene, Event, and Calamity, distinguished by their card borders.",運命カードの種類,運命カードには異なる種類があり、大きく分けて「風景」「イベント」「災厄」の3つに分類され、カードの枠によって区別されます。
Break,,Images/Tutorial/MapSelect/休息点,休息点,休息点可以恢复生命，存放或者取出魔女屋的道具，离开本局游戏（直接结算）,休息點,Rest Stop,休息點可以恢復生命，存放或者取出魔女屋的道具，離開本局遊戲（直接結算）,"At a Rest Stop, you can restore Health, store or retrieve items from the Witch's House, and leave the current run (settle immediately).",休憩所,休憩所では、HPの回復、魔女の家のアイテムの保管や取り出し、現在のゲームの終了（即時精算）ができます。
Shop,,Images/Tutorial/MapSelect/商店,商店,商店可以购买或者售出物品，祝福只会在命运之树出售,商店,Shop,商店可以購買或者售出物品，祝福只會在命運之樹出售,"In the shop, you can buy or sell items. Blessings are only sold at the Tree of Destiny.",ショップ,ショップではアイテムの購入や売却ができます。祝福は運命の樹でのみ販売されます。
Event,,Images/Tutorial/MapSelect/事件,事件,随机事件，通过选择不同的选项获得各种奇遇,事件,Event,隨機事件，通過選擇不同的選項獲得各種奇遇,Random events where you can gain various encounters by making different choices.,イベント,ランダムイベント。様々な選択肢を選ぶことで、色々な出来事に遭遇します。
Disaster,,Images/Tutorial/MapSelect/灾厄,灾厄,敌人，战胜敌人可以获得金币，卡牌，祝福,災厄,Calamity,敵人，戰勝敵人可以獲得金幣，卡牌，祝福,"Enemies. Defeating them can reward you with gold, cards, and blessings.",災厄,敵。敵を倒すと、ゴールド、カード、祝福を獲得できます。
Function bar,,Images/Tutorial/Adventure/功能栏,功能栏,"右上角为游戏的功能栏，从左到右依次为：

角色状态：用于查看角色当前的详细状态面板
图鉴：用于查阅已解锁的卡牌，遗物等信息
返回主界面：返回魔女屋（可以从魔女屋再返回游戏）
设置：调整游戏的音画表现",功能欄,Function Bar,"右上角為遊戲的功能欄，從左到右依次為：

角色狀態：用於查看角色當前的詳細狀態面板
圖鑒：用於查閱已解鎖的卡牌，遺物等資訊
返回主界面：返回魔女屋（可以從魔女屋再返回遊戲）
設置：調整遊戲的音畫表現","The top-right corner is the Function Bar. From left to right:\n\nCharacter Status: View the detailed character panel.\nCodex: View unlocked cards, relics, etc.\nReturn to Main Menu: Return to the Witch's House (from where you can return to the game).\nSettings: Adjust game audio and visuals.",機能バー,"右上は機能バーです。左から順に：

キャラクターステータス：キャラクターの詳細パネルを表示。
図鑑：解放済みのカードや遺物などの情報を確認。
メインメニューへ戻る：魔女の家に戻る（そこからゲームに復帰可能）。
設定：ゲームの音声やグラフィックを調整。"
Round,,Images/Tutorial/Fight/战斗,战斗简述,"本游戏采用回合制战斗。战斗结束条件为到所有怪物或者魔女阵亡结束
当自己的回合行动完毕时，可以点击右下角的按钮结束回合
在自己的回合长按右下角的旋转箭头按钮，可以重新开始这一回合（战斗内随机数不发生变化）",戰鬥簡述,Combat Overview,"本遊戲採用回合制戰鬥。戰鬥結束條件為到所有怪物或者魔女陣亡結束
當自己的回合行動完畢時，可以點擊右下角的按鈕結束回合
在自己的回合長按右下角的旋轉箭頭按鈕，可以重新開始這一回合（戰鬥內隨機數不發生變化）","This game uses turn-based combat. A battle ends when all monsters or all witches are defeated.\nWhen your turn is over, you can click the button in the bottom-right corner to end your turn.\nBy long-pressing the rotating arrow button in the bottom-right corner during your turn, you can restart the current turn (in-battle random numbers will not change).",戦闘概要,"本ゲームはターン制の戦闘を採用しています。戦闘は、全てのモンスターまたは全ての魔女が倒されると終了します。
自分のターンが終了したら、右下のボタンをクリックしてターンを終了できます。
自分のターン中に右下の回転矢印ボタンを長押しすると、現在のターンをやり直すことができます（戦闘中の乱数は変化しません）。"
