Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja
唯一的标识（不能重复）,备注,名称,名稱,Name,名称,描述,描述,Description,説明,剧情描述,劇情描述,Tips,ヒント
1,蛇自阴影中袭来,烬中拾遗,燼中拾遺,Ember Salvage,燃え殻の拾遺,卡牌焚毁时，有20%的概率在弃牌堆加入此卡。,卡牌焚毀時，有20%的機率在棄牌堆加入此卡。,"When a card is Burned, there is a 20% chance to add this card to the discard pile.",カードが燃焼した時、20%の確率でこのカードを捨て札に加える。,,,,
2,爱与梦魇的阶梯,死灵,死靈,Necromancy,死霊,【重生】时，获得1层不朽,【重生】時，獲得1層{buff_immortal}。,"On 【{buff_rebirth}】, gain 1 stack of {buff_immortal}.",【重生】時、{buff_immortal}を1スタック獲得する。,,,,
*3,蛇自阴影中袭来,自卑与超越,自卑與超越,Inferiority Rise,劣等感と超越,【不可叠加】不能以常规途径获得，在死亡后重生时有较低概率获得；每杀死一名敌方单位获得一个随机祝福，有概率额外获得一个随机遗物,【不可疊加】不能以常規途徑獲得，在死亡後重生時有較低機率獲得；每殺死一名敵方單位，獲得一個隨機祝福，並有機率額外獲得一個隨機遺物。,"[Unstackable] Cannot be obtained by normal means. Has a low chance to be obtained when reborn after death; whenever you kill an enemy unit, gain a random Blessing, with a chance to gain an additional random Relic.",【スタック不可】通常の手段では獲得できない。死亡後に重生した時、低確率で獲得する。敵ユニットを1体倒すたび、ランダムな祝福を1つ獲得し、さらにランダムな遺物を1つ獲得することがある。,,,,
*4,蛇自阴影中袭来,於魂叙的祈愿,於魂敘的祈願,Yuhunxu's Prayer,於魂叙の祈願,每局游戏仅一次，我方单位死亡时立即复活，将生命恢复至最大生命的x*25%；x＝友方单位人数,每局遊戲僅一次，我方單位死亡時立即復活，將生命恢復至最大生命的x*25%；x＝友方單位人數。,"Once per run only, when an allied unit dies, revive them immediately and restore Health equal to x*25% of Max Health; x = number of allied units.",1回のゲームにつき1回のみ、味方ユニットが死亡した時ただちに復活させ、最大HPのx*25%までHPを回復する。x＝味方ユニット数。,,,,
5,爱与梦魇的阶梯,咒怨的加护,咒怨的加護,Grudge Ward,呪怨の加護,每3次行动时对所有敌人缠怨1。,每3次行動時對所有敵人纏怨1。,"Every 3 actions, inflict 1 {buff_resentment} on all enemies.",3回行動するたび、すべての敵に纏怨を1付与する。,,,,
7,爱与梦魇的阶梯,怨憎十四面骰,怨憎十四面骰,Malice D14,怨憎の十四面ダイス,被攻击时，检定50：给予攻击者一层[怨念]；检定50：立刻结算一次攻击者身上的流血，灼烧；,被攻擊時，檢定50：給予攻擊者1層{buff_resentment}；檢定50：立刻結算一次攻擊者身上的{buff_bleeding}、{buff_burn}。,"When attacked, Check 50: apply 1 stack of {buff_resentment} to the attacker; Check 50: immediately trigger the attacker's {buff_bleeding} and {buff_burn} once.",攻撃された時、Check 50：攻撃者に{buff_resentment}を1スタック付与する。Check 50：攻撃者の{buff_bleeding}と{buff_burn}をただちに1回解決する。,,,,
*8,七重试炼,受诅者的加护,受詛者的加護,Cursed Ward,呪われし者の加護,"无法以常规手段获得，只能通过【七咒之戒】获得，只有在携带【七咒之戒】时生效
每杀死一个单位回复50%最大生命，获得随机1点主副本源属性","無法以常規手段獲得，只能透過【七咒之戒】獲得，只有在攜帶【七咒之戒】時生效
每殺死一個單位，回復50%最大生命，隨機獲得1點主/副本源屬性","Cannot be obtained by normal means; can only be obtained through 【Ring of Seven Curses】 and only takes effect while carrying 【Ring of Seven Curses】.
Whenever you kill a unit, restore 50% Max Health and gain 1 random point in a primary or secondary Origin attribute.","通常の手段では獲得できず、【七呪の指輪】を通してのみ獲得できる。【七呪の指輪】を所持している時だけ有効。
ユニットを1体倒すたび、最大HPの50%を回復し、主/副本源属性をランダムで1獲得する。",,,,
*9,鎏金要略,金权,金權,Golden Authority,黄金の権能,获得已有金币*10%数量的金币,獲得已有金幣*10%數量的金幣。,Gain Gold equal to 10% of your current Gold.,現在所持しているゴールドの10%に等しいゴールドを獲得する。,,,,
*10,深渊生存法则,冰川纹章,冰川紋章,Glacier Emblem,氷河の紋章,"战斗开始时:获得1层坚毅,获得1层自愈",戰鬥開始時：獲得1層{buff_impregnable}，獲得1層{buff_evergreen}。,At combat start: gain 1 stack of {buff_impregnable} and 1 stack of {buff_evergreen}.,戦闘開始時：{buff_impregnable}を1スタック、{buff_evergreen}を1スタック獲得する。,,,,
*11,深渊生存法则,旅者,旅者,Traveler,旅人,感知+1 精神+1,感知+1 精神+1,"Perception +1, Spirit +1.",感知+1、精神+1。,,,,
*12,深渊生存法则,游玲·残翼,游玲·殘翼,Youling: Broken,游玲・残翼,不可叠加，获得2层【强韧】,不可疊加，獲得2層{buff_resilient}。,Unstackable. Gain 2 stacks of {buff_resilient}.,スタック不可。{buff_resilient}を2スタック獲得する。,,,,
*13,深渊生存法则,堤喀的硬币,堤喀的硬幣,Tyche's Coin,テュケーのコイン,受伤时有50%概率获得自愈,受傷時有50%機率獲得{buff_evergreen}。,"When damaged, have a 50% chance to gain {buff_evergreen}.",ダメージを受けた時、50%の確率で{buff_evergreen}を獲得する。,,,,
*14,深渊生存法则,渡鸦的祈愿,渡鴉的祈願,Raven's Prayer,ワタリガラスの祈願,回合结束时恢复自身损失血量的20%，持续至第5回合结束,回合結束時恢復自身已損失血量的20%，持續至第5回合結束。,"At turn end, restore 20% of your lost Health. Lasts until the end of turn 5.",ターン終了時、自身の失ったHPの20%を回復する。5ターン目終了まで持続する。,,,,
*15,深渊生存法则,木制玩偶马,木製玩偶馬,Wooden Toy Horse,木製の玩具馬,前x回合时血量最低为1，x为这个祝福的层数,（疊加上限為4）前x回合時血量最低為1，x為這個祝福的層數。,"During the first x turns, your Health cannot fall below 1. x is this Blessing's stack count.",（スタック上限4）最初のxターン中、HPは最低1残る。xはこの祝福のスタック数。,,,,
