Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja
唯一的标识（不能重复）,备注,名称,名稱,Name,名称,描述,描述,Description,説明,剧情描述,劇情描述,Tips,ストーリー説明
1,魔力,士兵,士兵,Soldier,兵士,魔力+2,魔力+2,Mana +2,魔力+2,,,,
2,幸运,法师,法師,Mage,魔術師,精神+2,精神+2,Spirit +2,精神+2,,,,
3,精神,刺客,刺客,Assassin,暗殺者,感知+2,感知+2,Perception +2,感知+2,,,,
4,感知,羽兽,羽獸,Feathered Beast,羽獣,幸运+2,幸運+2,Luck +2,幸運+2,,,,
5,通用,皇后,皇后,Queen,女王,选择本源各+2,選擇道途各+2,Each chosen Origin +2,各道筋のステータス+2,,,,
6,"通用,生存",牧师,牧師,Priest,聖職者,战斗开始时恢复2点生命,戰鬥開始時恢復2點生命,"At combat start, restore 2 Health",戦闘開始時にHPを2回復する,,,,
7,"通用,生存",守卫,守衛,Guard,衛兵,最大生命值+5,最大生命值+5,Max Health +5,最大HP+5,,,,
8,"通用,生存",天使,天使,Angel,天使,战斗开始时获得1层自愈,戰鬥開始時獲得1層{buff_evergreen},"At combat start, gain 1 stack of {buff_evergreen}",戦闘開始時に{buff_evergreen}を1スタック獲得する,,,,
9,"通用,生存",盾卫,盾衛,Shield Guard,盾衛,战斗开始时你获得1层强韧,戰鬥開始時你獲得1層{buff_resilient},"At combat start, gain 1 stack of {buff_resilient}",戦闘開始時に{buff_resilient}を1スタック獲得する,,,,
10,"通用,生存",律法,律法,Law,律法,战斗开始时你获得3点护盾,戰鬥開始時你獲得3點護盾,"At combat start, gain 3 Shield",戦闘開始時にシールドを3獲得する,,,,
11,"通用,过牌",工匠,工匠,Craftsman,工匠,战斗开始时你额外抽1张牌,戰鬥開始時你額外抽1張牌,"At combat start, draw 1 extra card",戦闘開始時に追加でカードを1枚引く,,,,
12,"过牌,通用",游侠,遊俠,Ranger,レンジャー,战斗开始时获得1层敏锐,戰鬥開始時獲得1層{buff_fast},"At combat start, gain 1 stack of {buff_fast}",戦闘開始時に{buff_fast}を1スタック獲得する,,,,
