Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,备注,系列,标签,名称,名稱,Name,名称,剧情描述,劇情描述,Tips,ストーリー説明,描述,描述,Description,説明
1,,蛇自阴影中袭来,,蛇蛇的残蜕,蛇蛇的殘蛻,Serpent Slough,蛇の抜け殻の残滓,蛇褪下的残躯，她自回忆中汲取养分，从死亡中回归,蛇褪下的殘軀，她自回憶中汲取養分，從死亡中回歸,The shed remains of a serpent. She draws nourishment from memory and returns from death.,蛇が脱ぎ捨てた残骸。彼女は記憶から糧を得て、死より帰ってくる。,"初始具有9层蛇蜕（显示在遗物右下角的数字），受到超过最大生命5%的敌人的攻击时，消耗蛇蜕层数恢复等同于（受到伤害+最大生命5%）的生命，直至敌人攻击次数耗尽或者不再受到伤害
当携带者在战斗中死而复生时，恢复9层蛇蜕","初始具有9層蛇蛻（顯示在遺物右下角的數字），受到超過最大生命5%的敵人的攻擊時，消耗蛇蛻層數恢復等同於（受到傷害+最大生命5%）的生命，直至敵人攻擊次數耗盡或者不再受到傷害
當攜帶者在戰鬥中死而復生時，恢復9層蛇蛻","Starts with 9 stacks of Serpent Molt (shown as the number at the lower right of the relic). When hit by an enemy attack that deals more than 5% of Max Health, consume Serpent Molt stacks to restore Health equal to (damage taken + 5% of Max Health), until the enemy's attack count is exhausted or no more damage is taken.
When the bearer triggers {buff_rebirth} in battle, restore 9 stacks of Serpent Molt.","初期状態で蛇蛻を9スタック持つ（遺物右下の数字で表示）。最大HPの5%を超える敵の攻撃を受けた時、蛇蛻スタックを消費し、（受けたダメージ+最大HPの5%）に等しいHPを回復する。敵の攻撃回数が尽きるか、これ以上ダメージを受けなくなるまで続く。
所持者が戦闘中に死から蘇った時、蛇蛻を9スタック回復する。"
2,,爱与梦魇的阶梯,,重生徽记,重生徽記,Rebirth Emblem,Rebirthの徽章,,,,,战斗开始时，获得1魔能，若触发死而复生，战斗结束后选择本源各+2,戰鬥開始時，獲得1魔能，若觸發死而復生，戰鬥結束後選擇本源各+2,"At combat start, gain 1 Mana. If {buff_rebirth} is triggered, after combat choose Origins to each gain +2.",戦闘開始時、1マナを獲得する。Rebirthが発動した場合、戦闘終了後に選択した根源がそれぞれ+2される。
3,,蛇自阴影中袭来,,胧月樱,朧月櫻,Hazy-Moon Sakura,朧月桜,眼若湖中月，肤如雪上樱，发似晚间星——也许什么都已经被遗忘了，只是还能回忆起那胧月夜中、樱花树下，与那朵未绽的花。,眼若湖中月，膚如雪上櫻，髮似晚間星——也許什麼都已經被遺忘了，只是還能回憶起那朧月夜中、櫻花樹下，與那朵未綻的花。,"Eyes like the moon on a lake, skin like cherry blossoms on snow, hair like evening stars. Perhaps everything else has been forgotten, yet that hazy moonlit night beneath the sakura tree remains, along with the flower that had not yet bloomed.",瞳は湖面の月、肌は雪上の桜、髪は夜の星のよう。もう何もかも忘れてしまったのかもしれない。ただ、朧月の夜、桜の木の下、まだ咲かぬあの花のことだけは思い出せる。,战斗中，每焚毁1张卡牌，获得3层重生。,戰鬥中，每焚毀1張卡牌，本遺物增加1點計數。死亡時，若本遺物至少擁有10點計數，則以1HP復活。那之後，清除本遺物的所有計數，每清除1點計數恢復5%的生命值,"During combat, each time you Burn 1 card, gain 3 stacks of {buff_rebirth}.",戦闘中、カードを1枚Burnするたび、この遺物のカウント+1。死亡時、この遺物のカウントが10以上ならHP1で復活する。その後、この遺物の全カウントを消去し、消去したカウント1につきHPを5%回復する。
4,,蛇自阴影中袭来,,逝者的庇佑,逝者的庇佑,Departed Ward,逝きし者の庇護,一枚破损的魔女徽章，上面描述着一名魔女为了保护而做出的决绝。,一枚破損的魔女徽章，上面描述著一名魔女為了保護而做出的決絕。,"A damaged witch's emblem, bearing the resolve of a witch who chose everything for the sake of protection.",壊れた魔女の徽章。そこには、守るために決意を貫いた一人の魔女が描かれている。,自带1充能。战斗开始时如果有充能获得100重生。重生时充能-1。boss战胜利时恢复1充能；每回合结束时受到当前生命值18%的真实伤害。,自帶1充能。戰鬥開始時如果有充能獲得1次重生次數。重生時充能-1。boss戰勝利時恢復1充能；每回合結束時受到當前生命值10%的真實傷害。,"Starts with 1 charge. At combat start, if it has any charge, gain 100 {buff_rebirth}. When {buff_rebirth} triggers, charge -1. Restore 1 charge after winning a boss battle. At the end of each turn, take True Damage equal to 18% of current Health.",初期状態で充能を1持つ。戦闘開始時、充能がある場合はRebirth回数を1得る。Rebirth時、充能-1。ボス戦に勝利すると充能を1回復する。各ターン終了時、現在HPの10%のTrue Damageを受ける。
5,,爱与梦魇的阶梯,,哀怨结鸣,哀怨結鳴,Lament Chime,哀怨の結鳴,曾属于魔女法薇尔的吊坠，亦是她魔力回路的核心，轻抚结晶的表面，紫色魔女的意识穿越时空渗入持有者的意识：“这边对你的爱，如同你对我的恨一般炽烈，就让我们一起堕入深渊吧~♡”,曾屬於魔女法薇爾的吊墜，亦是她魔力迴路的核心，輕撫結晶的表面，紫色魔女的意識穿越時空滲入持有者的意識：「這邊對你的愛，如同你對我的恨一般熾烈，就讓我們一起墮入深淵吧~♡」,"A pendant once belonging to the witch Favir, and the core of her mana circuit. Brush the crystal surface, and the purple witch's consciousness seeps through time and space into the bearer's mind: “My love for you burns as fiercely as your hatred for me. Let us fall into the abyss together~♡”",かつて魔女ファヴィルが持っていたペンダントであり、彼女の魔力回路の核でもある。結晶の表面を撫でると、紫の魔女の意識が時空を越えて所持者の意識へ滲み込む。「こちらのあなたへの愛は、あなたの私への憎しみと同じくらい熱いの。一緒に深淵へ堕ちましょう~♡」,受伤时，如果伤害来源不是自己，回复等同攻击者负面状态种数的血量，然后攻击者的所有已拥有负面状态增加1层。,受傷時，回復等同攻擊者負面狀態種數的血量，然後攻擊者的所有已擁有負面狀態增加1層。,"When damaged, restore Health equal to the number of negative status types on the attacker, then increase all negative statuses already on the attacker by 1 stack.",ダメージを受けた時、攻撃者が持つ負面状態の種類数に等しいHPを回復する。その後、攻撃者がすでに持つ全ての負面状態を1スタック増加させる。
6,,爱与梦魇的阶梯,,雪日回忆,雪日回憶,Snowday Memory,雪の日の記憶,记忆的魔女和怨念的魔女留存的片刻回忆，看到感觉心灵被净化了。或许是因为持有的时间很长，所以存留了部分魔力。,記憶的魔女和怨念的魔女留存的片刻回憶，看到感覺心靈被淨化了。或許是因為持有的時間很長，所以存留了部分魔力。,"A brief memory left by the witch of memory and the witch of Resentment. Looking at it feels as if the heart has been purified. Perhaps because it was held for so long, a portion of magic still remains.",記憶の魔女と怨念の魔女が残した一瞬の記憶。見ていると心が浄化されるようだ。長い間持たれていたせいか、魔力の一部が残っている。,你每焚毁1张牌，对所有敌人缠怨2。回合结束时，你可以选择并焚毁1张牌。,你每焚毀1張牌，對所有敵人纏怨4。回合結束時，你可以選擇並焚毀1張牌。,"Each time you Burn 1 card, inflict 2 {buff_resentment} on all enemies. At the end of your turn, you may choose and Burn 1 card.",カードを1枚Burnするたび、全ての敵にResentmentを4付与する。ターン終了時、カードを1枚選んでBurnしてもよい。
7,,爱与梦魇的阶梯,,洛琳的礼物,洛琳的禮物,Lauryn's Gift,ローリンの贈り物,"来自异世魔王的馈赠,我十分不建议你在不做任何保护措施的情况下打开它",來自異世魔王的饋贈，我十分不建議你在不做任何保護措施的情況下打開它,A gift from a demon lord of another world. I strongly advise against opening it without any protection.,異世界の魔王からの贈り物。何の防護もなしに開けることは、まったくおすすめしない。,战斗开始时对所有敌人缠怨3，自身回合结束时使敌方全体负面状态层数增加其负面种数的层数。,戰鬥開始時對所有敵人纏怨6，自身回合結束時使敵方全體負面狀態層數增加其負面種數的層數。,"At combat start, inflict 3 {buff_resentment} on all enemies. At the end of your turn, increase each enemy's negative status stacks by the number of negative status types they have.",戦闘開始時、全ての敵にResentmentを6付与する。自身のターン終了時、敵全体の負面状態スタックを、その対象が持つ負面状態の種類数分増加させる。
8,,爱与梦魇的阶梯,,埃文尔牧的絮语,埃文爾牧的絮語,Avenelm Whisper,アヴェネルムの囁き,一段来自一座随风旅行的城市的誓言，一个铭刻着所有不愿驻足的歌声的徽章。每当风声掠过，你总能听见——那座城市还在前行。它在召唤着你。,一段來自一座隨風旅行的城市的誓言，一個銘刻著所有不願駐足的歌聲的徽章。每當風聲掠過，你總能聽見——那座城市還在前行。它在召喚著你。,"A vow from a city that travels with the wind, a badge engraved with every song that refuses to stay. Whenever the wind passes, you can hear it: that city is still moving forward. It is calling to you.",風と旅する都市から届いた誓い。立ち止まることを拒んだ全ての歌声が刻まれた徽章。風が吹き抜けるたび、あなたには聞こえる。その都市はいまも進み続けている。あなたを呼んでいる。,每次给予负面效果时，随机1张手牌本回合下次打出费用-1,每次給予或受到負面效果時，隨機1張手牌本回合下次打出費用-1,"Each time you apply or receive a negative effect, reduce the cost of 1 random card in hand by 1 the next time it is played this turn.",負面効果を付与するか受けるたび、ランダムな手札1枚のこのターン次回プレイ時のコスト-1。
9,,爱与梦魇的阶梯,,灼魂的白剑,灼魂的白劍,Soulscorch Blade,魂灼く白剣,风之妖精羽蝶的翅膀，传说每当羽蝶振翅都会让风之灵欢欣跃动随之聚集。所以～羽蝶小小的扇扇翅膀，应该不会有多大问题！,風之妖精羽蝶的翅膀，傳說每當羽蝶振翅都會讓風之靈歡欣躍動隨之聚集。所以～羽蝶小小的扇扇翅膀，應該不會有多大問題！,The wing of a wind-fairy featherbutterfly. Legend says every flutter stirs the spirits of wind into delighted motion and gathers them close. So a tiny little flap should not cause much trouble!,風の妖精、羽蝶の翼。羽蝶が羽ばたくたび、風の精霊たちは喜び踊って集まるという。だから、ほんの少し羽ばたくくらいなら、きっと大した問題にはならないはず！,每次给予负面效果时，额外追加1层灼烧效果,每次給予負面效果時，額外追加兩層灼燒效果,"Each time you apply a negative effect, additionally apply 1 stack of {buff_burn}.",負面効果を付与するたび、追加でBurnを2スタック付与する。
