Id,Text,Text_zh-Hant,Text_en,Text_ja,Notification,Notification_zh-Hant,Notification_en,Notification_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,,,,
1,这次模拟，感觉如何？,這次模擬，感覺如何？,"With the final blow delivered, the nameless figure fell to the ground, dissolving into ink-black shadows.",最後の一撃が振り下ろされると、名もなき影は崩れ落ち、墨のような暗闇へと溶けていった。,,,,
2,这就是……一摆到底的结局吗？,這就是……一擺到底的結局嗎？,Phew... It's finally over...,ふぅ……終わった、やっと……,,,,
3,阿米莉娅下意识摸向自己的胸口,阿米莉娅下意識摸向自己的胸口,"The moon cast an eerie red glow in the sky. Amelia gazed toward the distant horizon, as if watching the coming dawn.",月が夜空で妖艶な赤い光を放つ中、アメリアは遠くの地平線を見つめていた。まるで、もうすぐ訪れる夜明けを待ちわびるかのように。,,,,
4,虽说只是模拟，但那种“魔力枯竭”的感觉，也未免太真实了一些吧？,雖說只是模擬，但那種“魔力枯竭”的感覺，也未免太真實了一些吧？,What to eat tomorrow... Maybe I'll brew a pot of “Gurgling Potion”? I hope no naughty kids treat my broom like a flying one again...,明日は何を食べようかな……「グツグツ魔薬」でも煮込もうかしら？いたずらっ子がまた私の掃除用ほうきを「空飛ぶほうき」と勘違いして持っていかなきゃいいけど……,,,,
5,现在回想起来，那种牌被卡在手里打不出去的感觉，还是让人感觉很不爽啊！,現在回想起來，那種牌被卡在手里打不出去的感覺，還是讓人感覺很不爽啊！,"The girl murmured to herself, her figure trailing the distant birds step by step, disappearing beyond the horizon.",少女はぶつぶつと呟きながら、遠くへ飛び去る鳥たちの後を追うように歩き出し、やがて地平線の彼方へと消えていった。,保险箱的次数重置了,保險箱的次數重置了,The number of uses for the Safe Box has been reset.,金庫の使用回数がリセットされました。
6,人们常说的“黄粱一梦”，大概指的就是这种感觉吧？,人們常說的“黃粱一夢”，大概指的就是這種感覺吧？,I suppose this is what people mean by waking from a fleeting dream.,人々がよく言う『邯鄲の夢』って、きっとこういう感覚のことなんでしょうね？,,,,
7,说起来，我那时候的精神状态似乎都有些不太好了……,說起來，我那時候的精神狀態似乎都有些不太好了……,"Now that I think about it, my mental state back then was getting a little questionable...",そういえば、あの頃の私の精神状態も、少し怪しくなっていた気がするわ……,,,,
8,可能是因为阿米莉娅酱不太喜欢那种一成不变的日子吧？,可能是因為阿米莉娅醬不太喜歡那種一成不變的日子吧？,Maybe it's because Amelia-chan doesn't really like days that never change?,アメリアちゃんは、ああいう変わり映えのしない日々があまり好きじゃないからかもしれないわね？,,,,
9,虽说我倒是比较享受就是了。,雖說我倒是比較享受就是了。,Though I enjoyed them well enough myself.,私はわりと楽しんでいたんだけどね。,,,,
10,对了，说起模拟的事……你可以再表演一下模拟结尾时的那个吗？,對了，說起模擬的事……你可以再表演一下模擬結尾時的那個嗎？,"Oh, right, speaking of the simulation... Could you perform that bit from the ending again?",そうだ、シミュレーションの話で思い出したんだけど……最後のあれ、もう一回やって見せてくれない？,,,,
11,嗯？你说的不会是……,嗯？你說的不會是……,Huh? You don't mean...,え？ まさか、それって……,,,,
12,“所以……「永夜」必须留下，为我而留！”,“所以……「永夜」必須留下，為我而留！”,"""So... the ""Eternal Night"" must remain. Remain for me!""",「だから……『永夜』は残らなければならない。私のために！」,,,,
13,别念了别念了啊啊啊！（捂脸）,別念了別念了啊啊啊！（捂臉）,"Stop, stop, don't say it, aaaaah! (covers face)",読まないで、もう読まないでえええ！（顔を覆う）,,,,
14,哈哈哈哈哈哈哈哈！,哈哈哈哈哈哈哈哈！,Hahahahahahaha!,あははははははは！,,,,
